"CrossCountryCorrelation","Simulations","MeanIncrementalNMBVsPersistenceEUR","Lower95IncrementalNMBVsPersistenceEUR","Upper95IncrementalNMBVsPersistenceEUR","ProbabilityCostEffectiveVsPersistence","MonteCarloSE","MonteCarloLower95","MonteCarloUpper95"
0,50000,-17456784.8492882,-97138714.5960171,1158242.4167645,0.13964,0.00155010109605793,0.13660185767933,0.14267814232067
0.25,50000,-17458484.6755407,-97561102.3491817,1149168.61342207,0.13942,0.00154907755519212,0.136383863782564,0.142456136217436
0.5,50000,-17460420.8061319,-97682914.6349171,1147296.64719666,0.1396,0.00154991509444872,0.136562222235786,0.142637777764214
