"Parameter","BaseNMBEUR","LowNMBEUR","HighNMBEUR","MinimumNMBEUR","MaximumNMBEUR","NMBRangeEUR"
"resistance_trigger_pct",-38673433.3827032,-7409542.81611651,0,-38673433.3827032,0,38673433.3827032
"increase_trigger_pp",-38673433.3827032,-38442971.2011501,-38673433.3827032,-38673433.3827032,-38442971.2011501,230462.181553163
"future_bsi_incidence_multiplier",-38673433.3827032,-30878746.7061626,-46468120.0592439,-46468120.0592439,-30878746.7061626,15589373.3530813
"baseline_bsi_mortality_probability",-38673433.3827032,-26475161.397222,-59060254.146918,-59060254.146918,-26475161.397222,32585092.749696
"intervention_mortality_odds_ratio",-38673433.3827032,-67825946.2948887,-5432529.82669626,-67825946.2948887,-5432529.82669626,62393416.4681924
"programme_fixed_cost_per_country",-38673433.3827032,-38873433.3827033,-38373433.3827032,-38873433.3827033,-38373433.3827032,500000.000000007
"programme_variable_cost_per_bsi_episode",-38673433.3827032,-39479473.9564843,-37061352.2351412,-39479473.9564843,-37061352.2351412,2418121.72134312
"qaly_loss_per_bsi_death",-38673433.3827032,-18481431.1892932,-58865435.5761133,-58865435.5761133,-18481431.1892932,40384004.3868201
"willingness_to_pay_per_qaly",-38673433.3827032,-25212098.5870966,-65596102.9739166,-65596102.9739166,-25212098.5870966,40384004.3868201
