"iso3","country","antibiotic","antibiotic_family","OriginYear","LatestObservedResistancePct","tested","Horizon","ForecastTargetYear","SelectedMLModel","ModelForecastPct","PersistenceForecastPct","RecommendedMethod","RecommendedForecastPct","Lower80Pct","Upper80Pct","Lower95Pct","Upper95Pct","ReportedEcoliBSIEpisodesOrigin","population_coverage_pct","geographical_representativeness","hospital_representativeness","isolate_representativeness","blood_culture_rate_per_1000_patient_days","source_url","PopulationOrigin","ProjectedPopulationTargetYear","CoverageAdjustedEcoliBSIEpisodesOrigin","TotalEcoliBSIIncidencePer100kOrigin","EconomicCohortEpisodes","RepresentativenessCaution","IncidenceMeasurementCV","ForecastIncreasePP","PersistenceProgrammeTriggered","ForecastProgrammeTriggered","ForecastResistantEpisodes","UsualCareDeaths","PersistenceDeaths","ForecastDeaths","PersistenceStrategyCostEUR","ForecastStrategyCostEUR","IncrementalCostForecastVsUsualEUR","IncrementalCostForecastVsPersistenceEUR","QALYGainedForecastVsUsual","QALYGainedForecastVsPersistence","IncrementalNMBForecastVsUsualEUR","IncrementalNMBForecastVsPersistenceEUR"
"LTU","Lithuania","Third-generation cephalosporins","J01D_other_beta_lactams",2023,16.9594594594595,1480,3,2026,"Extra Trees",15.293643583706,16.9594594594595,"Extra Trees",15.293643583706,12.6934059776843,17.8938811897276,10.5589954594439,20.0282917079681,1480,100,"High","High","High",8.8,"https://www.ecdc.europa.eu/sites/default/files/documents/antimicrobial-resistance-annual-epidemiological-report-EARS-Net-2023.pdf",2871585,2842081,1480,51.5394808093788,1464.793791582,"High",0.1,-1.66581587575347,TRUE,TRUE,224.020341720804,33.6030512581207,27.1048396911418,27.1048396911418,201267.78270537,201267.78270537,201267.78270537,0,51.9856925358309,0,1358302.99336956,0
"PRT","Portugal","Third-generation cephalosporins","J01D_other_beta_lactams",2023,17.1950648133687,6403,3,2026,"Extra Trees",15.0713697612502,17.1950648133687,"Extra Trees",15.0713697612502,12.4711321552286,17.6716073672719,10.3367216369881,19.8060178855123,6407,98,"High","High","High",323.6,"https://www.ecdc.europa.eu/sites/default/files/documents/antimicrobial-resistance-annual-epidemiological-report-EARS-Net-2023.pdf",10578174,10350500,6537.75510204082,61.8041932571805,6397.04302308446,"High",0.1,-2.1236950521185,TRUE,TRUE,964.12200779532,144.618301169298,116.651783776683,116.651783776683,373896.505807956,373896.505807956,373896.505807956,0,223.73213914092,0,6338067.66841965,0
"ESP","Spain","Third-generation cephalosporins","J01D_other_beta_lactams",2023,16.2153414607833,9269,3,2026,"Extra Trees",14.4368112647826,16.2153414607833,"Extra Trees",14.4368112647826,11.8365736587609,17.0370488708042,9.7021631405205,19.1714593890447,9617,28,"Medium","High","High",606.6,"https://www.ecdc.europa.eu/sites/default/files/documents/antimicrobial-resistance-annual-epidemiological-report-EARS-Net-2023.pdf",48352528,48822977,34346.4285714286,71.0333668002396,34680.6043352066,"Medium",0.223606797749979,-1.77853019600067,TRUE,FALSE,5006.77339335979,751.016009003968,605.783337149013,751.016009003968,1363821.15173223,0,0,-1363821.15173223,0,-1161.86137483965,0,-33492020.0934571
"CZE","Czechia","Third-generation cephalosporins","J01D_other_beta_lactams",2023,15.8787255909558,3892,3,2026,"Extra Trees",14.1259234020768,15.8787255909558,"Extra Trees",14.1259234020768,11.5256857960551,16.7261610080984,9.39127527781469,18.8605715263389,3892,70,"High","High","High",18.2,"https://www.ecdc.europa.eu/sites/default/files/documents/antimicrobial-resistance-annual-epidemiological-report-EARS-Net-2023.pdf",10864042,10984063,5560,51.1780053869453,5621.42435384546,"High",0.1,-1.75280218887902,TRUE,FALSE,794.078098329901,119.111714749485,96.0777016593571,119.111714749485,346749.852384591,0,0,-346749.852384591,0,-184.272104721023,0,-5181413.28924611
"MLT","Malta","Third-generation cephalosporins","J01D_other_beta_lactams",2023,11.2980769230769,416,3,2026,"Extra Trees",12.7342313418969,11.2980769230769,"Extra Trees",12.7342313418969,10.1339937358753,15.3344689479186,7.99958321763482,17.468879466159,416,95,"High","High","High",32.8,"https://www.ecdc.europa.eu/sites/default/files/documents/antimicrobial-resistance-annual-epidemiological-report-EARS-Net-2023.pdf",552747,563990,437.894736842105,79.2215492516658,446.80161562447,"High",0.1,1.43615441881999,FALSE,FALSE,56.8967513729531,8.53451270594296,8.53451270594296,8.53451270594296,0,0,0,0,0,0,0,0
"EST","Estonia","Third-generation cephalosporins","J01D_other_beta_lactams",2023,11.4391143911439,1084,3,2026,"Extra Trees",11.9348380916118,11.4391143911439,"Extra Trees",11.9348380916118,9.33460048559014,14.5350756976335,7.2001899673497,16.6694862158739,1084,100,"High","High","High",40.2,"https://www.ecdc.europa.eu/sites/default/files/documents/antimicrobial-resistance-annual-epidemiological-report-EARS-Net-2023.pdf",1370286,1374354,1084,79.1075731635586,1087.21809607629,"High",0.1,0.495723700467884,FALSE,FALSE,129.75771946941,19.4636579204115,19.4636579204115,19.4636579204115,0,0,0,0,0,0,0,0
"ISL","Iceland","Third-generation cephalosporins","J01D_other_beta_lactams",2023,12.015503875969,258,3,2026,"Extra Trees",11.0531457933505,12.015503875969,"Extra Trees",11.0531457933505,8.45290818732885,13.6533833993722,6.31849766908841,15.7877939176126,258,100,"High","High","High",72,"https://www.ecdc.europa.eu/sites/default/files/documents/antimicrobial-resistance-annual-epidemiological-report-EARS-Net-2023.pdf",385663,409113,258,66.8977838164408,273.687530304955,"High",0.1,-0.962358082618485,FALSE,FALSE,30.2510817428271,4.53766226142406,4.53766226142406,4.53766226142406,0,0,0,0,0,0,0,0
"LUX","Luxembourg","Third-generation cephalosporins","J01D_other_beta_lactams",2023,11.7136659436009,461,3,2026,"Extra Trees",10.9082109404817,11.7136659436009,"Extra Trees",10.9082109404817,8.30797333446007,13.5084485465034,6.17356281621963,15.6428590647438,461,100,"High","High","High",42.5,"https://www.ecdc.europa.eu/sites/default/files/documents/antimicrobial-resistance-annual-epidemiological-report-EARS-Net-2023.pdf",666430,698278,461,69.1745569677235,483.030712903081,"High",0.1,-0.805455003119139,FALSE,FALSE,52.6900090707807,7.90350136061711,7.90350136061711,7.90350136061711,0,0,0,0,0,0,0,0
"IRL","Ireland","Third-generation cephalosporins","J01D_other_beta_lactams",2023,10.4233483001924,3118,3,2026,"Extra Trees",10.0931723288626,10.4233483001924,"Extra Trees",10.0931723288626,7.49293472284099,12.6934099348843,5.35852420460055,14.8278204531247,3118,92,"High","High","High",56.5,"https://www.ecdc.europa.eu/sites/default/files/documents/antimicrobial-resistance-annual-epidemiological-report-EARS-Net-2023.pdf",5311538,5289027,3389.13043478261,63.8069507322099,3374.76685210328,"High",0.1,-0.330175971329785,FALSE,FALSE,340.621034080117,51.0931551120176,51.0931551120176,51.0931551120176,0,0,0,0,0,0,0,0
"DEU","Germany","Third-generation cephalosporins","J01D_other_beta_lactams",2023,9.68864931637609,35619,3,2026,"Extra Trees",9.84488489249836,9.68864931637609,"Extra Trees",9.84488489249836,7.24464728647671,12.44512249852,5.11023676823626,14.5795330167605,35623,40,"High","Medium","High",NA,"https://www.ecdc.europa.eu/sites/default/files/documents/antimicrobial-resistance-annual-epidemiological-report-EARS-Net-2023.pdf",83287273,85309747,89057.5,106.9281017281,91220.0930561444,"Medium",0.223606797749979,0.156235576122269,FALSE,FALSE,8980.5131602073,1347.0769740311,1347.0769740311,1347.0769740311,0,0,0,0,0,0,0,0
"BEL","Belgium","Third-generation cephalosporins","J01D_other_beta_lactams",2023,10.088781275222,4956,3,2026,"Extra Trees",9.63339174992741,10.088781275222,"Extra Trees",9.63339174992741,7.03315414390575,12.2336293559491,4.89874362566531,14.3680398741895,4958,42,"High","Medium","High",115.7,"https://www.ecdc.europa.eu/sites/default/files/documents/antimicrobial-resistance-annual-epidemiological-report-EARS-Net-2023.pdf",11779946,11867591,11804.7619047619,100.210662296431,11892.5915397316,"Medium",0.223606797749979,-0.455389525294546,FALSE,FALSE,1145.65993224107,171.84898983616,171.84898983616,171.84898983616,0,0,0,0,0,0,0,0
"SVN","Slovenia","Third-generation cephalosporins","J01D_other_beta_lactams",2023,8.66381940207444,1639,3,2026,"Extra Trees",9.48105457389304,8.66381940207444,"Extra Trees",9.48105457389304,6.88081696787139,12.0812921799147,4.74640644963094,14.2157026981551,1639,99,"High","High","High",44.7,"https://www.ecdc.europa.eu/sites/default/files/documents/antimicrobial-resistance-annual-epidemiological-report-EARS-Net-2023.pdf",2120461,2121073,1655.55555555556,78.0752654991323,1656.03337618041,"High",0.1,0.817235171818604,FALSE,FALSE,157.009428157548,23.5514142236322,23.5514142236322,23.5514142236322,0,0,0,0,0,0,0,0
"AUT","Austria","Third-generation cephalosporins","J01D_other_beta_lactams",2023,9.85248588599526,5491,3,2026,"Extra Trees",8.98395781716417,9.85248588599526,"Extra Trees",8.98395781716417,6.38372021114252,11.5841954231858,4.24930969290208,13.7186059414263,5491,90,"High","High","High",NA,"https://www.ecdc.europa.eu/sites/default/files/documents/antimicrobial-resistance-annual-epidemiological-report-EARS-Net-2023.pdf",9131761,9125881,6101.11111111111,66.8119885212842,6097.18256618606,"High",0.1,-0.868528068831091,FALSE,FALSE,547.768309781644,82.1652464672465,82.1652464672465,82.1652464672465,0,0,0,0,0,0,0,0
"SWE","Sweden","Third-generation cephalosporins","J01D_other_beta_lactams",2023,7.92540792540793,10725,3,2026,"Extra Trees",7.40165136121124,7.92540792540793,"Extra Trees",7.40165136121124,4.80141375518959,10.0018889672329,2.66700323694915,12.1362994854733,10725,89,"High","High","High",112.4,"https://www.ecdc.europa.eu/sites/default/files/documents/antimicrobial-resistance-annual-epidemiological-report-EARS-Net-2023.pdf",10536632,10770866,12050.5617977528,114.368251617337,12318.4511282462,"High",0.1,-0.523756564196681,FALSE,FALSE,911.768805613974,136.765320842096,136.765320842096,136.765320842096,0,0,0,0,0,0,0,0
"NLD","Netherlands","Third-generation cephalosporins","J01D_other_beta_lactams",2023,7.9719387755102,7840,3,2026,"Extra Trees",7.08136218366204,7.9719387755102,"Extra Trees",7.08136218366204,4.48112457764038,9.68159978968369,2.34671405939994,11.8160103079241,7841,76,"High","High","High",NA,"https://www.ecdc.europa.eu/sites/default/files/documents/antimicrobial-resistance-annual-epidemiological-report-EARS-Net-2023.pdf",17877117,18125648,10317.1052631579,57.7112364547253,10460.5355762312,"High",0.1,-0.890576591848165,FALSE,FALSE,740.748410503749,111.112261575562,111.112261575562,111.112261575562,0,0,0,0,0,0,0,0
"FIN","Finland","Third-generation cephalosporins","J01D_other_beta_lactams",2023,7.08587517597372,4262,3,2026,"Extra Trees",6.91286418592975,7.08587517597372,"Extra Trees",6.91286418592975,4.3126265799081,9.5131017919514,2.17821606166765,11.6475123101918,4268,84,"High","High","High",195.8,"https://www.ecdc.europa.eu/sites/default/files/documents/antimicrobial-resistance-annual-epidemiological-report-EARS-Net-2023.pdf",5583911,5644445,5080.95238095238,90.9927178451157,5136.03391277274,"High",0.1,-0.173010990043971,FALSE,FALSE,355.047048933273,53.257057339991,53.257057339991,53.257057339991,0,0,0,0,0,0,0,0
"DNK","Denmark","Third-generation cephalosporins","J01D_other_beta_lactams",2023,6.31638846737481,5272,3,2026,"Extra Trees",6.69710903665826,6.31638846737481,"Extra Trees",6.69710903665826,4.0968714306366,9.29734664267991,1.96246091239616,11.4317571609204,5839,100,"High","High","High",261.7,"https://www.ecdc.europa.eu/sites/default/files/documents/antimicrobial-resistance-annual-epidemiological-report-EARS-Net-2023.pdf",5946952,5998728,5839,98.1847507765323,5889.83613656206,"High",0.1,0.380720569283446,FALSE,FALSE,394.448748146061,59.1673122219092,59.1673122219092,59.1673122219092,0,0,0,0,0,0,0,0
"NOR","Norway","Third-generation cephalosporins","J01D_other_beta_lactams",2023,5.62248995983936,3984,3,2026,"Extra Trees",6.14278983129152,5.62248995983936,"Extra Trees",6.14278983129152,3.54255222526986,8.74302743731317,1.40814170702942,10.8774379555536,3984,94,"High","High","High",80.9,"https://www.ecdc.europa.eu/sites/default/files/documents/antimicrobial-resistance-annual-epidemiological-report-EARS-Net-2023.pdf",5519601,5532441,4238.29787234043,76.7863088716091,4248.15723439954,"High",0.1,0.520299871452159,FALSE,FALSE,260.95537061197,39.1433055917955,39.1433055917955,39.1433055917955,0,0,0,0,0,0,0,0
