"Metric","Mean","Median","Lower95","Upper95","MonteCarloSE","MonteCarloLower95","MonteCarloUpper95"
"DeathsAvoidedVsUsual",635.025703824008,604.767536473006,98.1387992473122,1329.45414663807,NA,NA,NA
"IncrementalCostForecastVsUsualEUR",6014030.46676068,5669863.48012425,3072287.33395456,10616449.1598152,NA,NA,NA
"IncrementalCostForecastVsPersistenceEUR",-818041.884247211,-289475.060771638,-3441159.26446549,248957.562404289,NA,NA,NA
"QALYGainedForecastVsUsual",5076.24564037534,4713.86779612815,751.859028143475,11474.5769113304,NA,NA,NA
"QALYGainedForecastVsPersistence",-547.491684079625,-27.4002303324257,-2901.29864161982,36.9142640990904,NA,NA,NA
"IncrementalNMBForecastVsUsualEUR",163427918.199756,147420051.555904,18178799.2592193,399246799.469094,NA,NA,NA
"IncrementalNMBForecastVsPersistenceEUR",-17458484.6755407,-495014.737916722,-97561102.3491817,1149168.61342207,NA,NA,NA
"Probability cost-effective vs usual care",0.98716,NA,NA,NA,0.000503490504379178,0.986173176744859,0.988146823255141
"Probability cost-effective vs persistence planning",0.13942,NA,NA,NA,0.00154907755519212,0.136383863782564,0.142456136217436
