Horizon,Evaluation,N,ModelRMSE,PersistenceRMSE,RMSEDifference,Skill,ModelWeightedRMSE,PersistenceWeightedRMSE,WeightedSkill,ModelWins
1,Frozen specification,720,2.328755865107189,2.3429324492886776,-0.0141765841814884,0.0060507865627079,1.390959095824084,1.3856348181949003,-0.0038424825641432,True
1,Nested pipeline,432,2.3895804547865107,2.227467140330857,0.1621133144556532,-0.0727792170400205,1.444277746438817,1.3019621252147875,-0.1093085723984106,False
1,Partial pooling,720,2.3340264618267,2.3429324492886776,-0.0089059874619779,0.0038012139294421,1.4027433280842914,1.3856348181949003,-0.0123470554180205,True
3,Frozen specification,427,2.1859058011160597,3.027929787088962,-0.8420239859729026,0.2780857038242028,1.6172810574978336,2.697034743599844,0.4003484525604658,True
3,Nested pipeline,427,2.2026773676139992,3.027929787088962,-0.8252524194749626,0.2725467489351385,1.6677227194080917,2.697034743599844,0.3816458155143699,True
3,Partial pooling,427,2.284396183954582,3.027929787088962,-0.74353360313438,0.245558403072883,1.6588763445052976,2.697034743599844,0.3849258529420623,True
5,Frozen specification,427,2.191101574412384,3.962342672650984,-1.7712410982385998,0.4470186565296637,1.6180335265123076,3.588238207356371,0.5490729898602826,True
5,Nested pipeline,139,1.902089637944786,3.4716432835066398,-1.5695536455618533,0.452106831660561,1.2630493999963175,2.9887962560856662,0.5774053191399222,True
5,Partial pooling,427,2.392787351491132,3.962342672650984,-1.5695553211598514,0.3961180167463277,1.7360725578192815,3.588238207356371,0.5161768930891768,True
