TargetYear,N,ModelRMSE,PersistenceRMSE,RMSEDifference,Skill,ModelMAE,PersistenceMAE,ModelWeightedRMSE,PersistenceWeightedRMSE,WeightedSkill,ModelR2,ModelWins,Horizon,Evaluation
2021,144,2.397526456949247,3.4574349801780904,-1.0599085232288434,0.30655920626286026,1.728209115865571,2.4831815738839564,2.0018152752898555,3.2362799537032028,0.38144557827909076,0.9843160860408403,True,3,Frozen specification
2022,144,2.057225239897757,3.1606725747254223,-1.1034473348276652,0.34911788827842294,1.315624882775769,2.0601173981791536,1.462152472736106,2.993841449234806,0.5116132575725356,0.9883711913221069,True,3,Frozen specification
2023,139,2.083025217777577,2.3305837834745575,-0.24755856569698054,0.10622169752160004,1.4089880884391952,1.5434049271460402,1.323345882688669,1.5296824852086441,0.1348885173983223,0.9884059670023903,True,3,Frozen specification
Pooled,427,2.1859058011160593,3.027929787088962,-0.8420239859729026,0.27808570382420283,1.4851555974178012,2.034586268970463,1.6172810574978336,2.697034743599844,0.4003484525604658,0.9870249194841011,True,3,Frozen specification
2021,144,2.5719104768949816,3.4574349801780904,-0.8855245032831087,0.25612180948012964,1.8098036703930598,2.4831815738839564,2.0739300043707547,3.2362799537032028,0.35916236109376043,0.9819515741478916,True,3,Partial pooling
2022,144,2.155958531531235,3.1606725747254223,-1.0047140431941872,0.3178798244489055,1.3745223809663958,2.0601173981791536,1.5200385643795995,2.993841449234806,0.4922782017170264,0.9872281930967481,True,3,Partial pooling
2023,139,2.0887332752208922,2.3305837834745575,-0.24185050825366528,0.10377250110832825,1.3943342986199487,1.5434049271460402,1.3015205767392266,1.5296824852086441,0.14915638420106314,0.9883423383140771,True,3,Partial pooling
Pooled,427,2.284396183954582,3.027929787088962,-0.74353360313438,0.245558403072883,1.5277644470818135,2.034586268970463,1.6588763445052976,2.697034743599844,0.3849258529420623,0.9858293416240099,True,3,Partial pooling
2021,144,2.459485188217938,3.4574349801780904,-0.9979497919601523,0.2886387734495439,1.7834579009680454,2.4831815738839564,2.0592460747423815,3.2362799537032028,0.3636996476815819,0.9834949799091628,True,3,Nested pipeline
2022,144,2.0373146672234963,3.1606725747254223,-1.123357907501926,0.35541736163528914,1.3001446059113724,2.0601173981791536,1.4791667849515653,2.993841449234806,0.5059301536059551,0.9885951977069551,True,3,Nested pipeline
2023,139,2.082737965451887,2.3305837834745575,-0.24784581802267036,0.10634495090031426,1.3971387640312463,1.5434049271460402,1.4045540179604292,1.5296824852086441,0.08180028761403235,0.9884091644512543,True,3,Nested pipeline
Pooled,427,2.2026773676139992,3.027929787088962,-0.8252524194749626,0.2725467489351385,1.494709717074893,2.034586268970463,1.6677227194080917,2.697034743599844,0.38164581551436993,0.9868250506229532,True,3,Nested pipeline
