Repetition,Feature,NullImprovementPct,NullMaximumImprovementPct,Horizon
0,family_consumption_lag1,2.0489917453188653,5.618416307155827,5
0,family_consumption_lag2,1.8197570904643183,5.618416307155827,5
0,family_consumption_lag3,0.14850931605000853,5.618416307155827,5
0,family_consumption_mean3,2.6929722086465695,5.618416307155827,5
0,family_consumption_sum3,1.7709365891324784,5.618416307155827,5
0,family_consumption_volatility3,1.0821792167014155,5.618416307155827,5
0,family_consumption_change1,0.9004758399539726,5.618416307155827,5
0,family_consumption_trend3,0.6235323142518547,5.618416307155827,5
0,consumption_community_lag1,2.810823600911804,5.618416307155827,5
0,consumption_hospital_lag1,2.825311956058067,5.618416307155827,5
0,hospital_community_ratio_lag1,4.252512787560815,5.618416307155827,5
0,reserve_pct_lag1,3.1981917445451713,5.618416307155827,5
0,reserve_pct_lag2,3.0927302705290343,5.618416307155827,5
0,reserve_pct_lag3,0.5435436979330587,5.618416307155827,5
0,reserve_mean3,2.771795672972284,5.618416307155827,5
0,reserve_change1,2.0818279783608133,5.618416307155827,5
0,ast_tested_per_100k,3.7680294474462195,5.618416307155827,5
0,reported_resistant_per_100k,4.906803187257494,5.618416307155827,5
0,tested_growth1,-0.3729815218400685,5.618416307155827,5
0,testing_volatility4,2.3686886902653295,5.618416307155827,5
0,population,3.84081544901113,5.618416307155827,5
0,age65_pct,0.6891937281701525,5.618416307155827,5
0,urban_pct,4.699456989739674,5.618416307155827,5
0,gdp_per_capita,3.942825441642528,5.618416307155827,5
0,health_expenditure_pct_gdp,5.272993851861191,5.618416307155827,5
0,log_population,4.972256313226842,5.618416307155827,5
0,population_growth1,2.774369221955566,5.618416307155827,5
0,population_growth3,1.5557252806252393,5.618416307155827,5
0,age65_change1,1.3073931532971494,5.618416307155827,5
0,urban_change1,3.4090773039459843,5.618416307155827,5
0,log_gdp_per_capita,5.618416307155827,5.618416307155827,5
0,gdp_growth1,-0.6566879593242626,5.618416307155827,5
0,health_expenditure_change1,1.278762854945646,5.618416307155827,5
0,eu_resistance_excl_country,0.07788058443958482,5.618416307155827,5
0,resistance_gap_to_eu,-0.46229929067189224,5.618416307155827,5
0,eu_resistance_change1,0.17462891664686137,5.618416307155827,5
0,other_antibiotic_mean,1.0746695185725559,5.618416307155827,5
0,other_antibiotic_sd,1.1224066220541176,5.618416307155827,5
0,other_high_resistance_count,0.24340730115624126,5.618416307155827,5
0,country_profile_gap,0.11032991260714295,5.618416307155827,5
0,trend_x_volatility,0.5781384721311321,5.618416307155827,5
0,resistance_x_consumption,2.100561490597501,5.618416307155827,5
0,trend_x_consumption,2.248258201770212,5.618416307155827,5
0,resistance_x_eu_gap,-0.4102326606549118,5.618416307155827,5
0,origin_year_index,0.41893491955694,5.618416307155827,5
1,family_consumption_lag1,1.6084068339047326,5.325814977792497,5
1,family_consumption_lag2,2.1929094169457266,5.325814977792497,5
1,family_consumption_lag3,1.3489141476792792,5.325814977792497,5
1,family_consumption_mean3,2.690239585014955,5.325814977792497,5
1,family_consumption_sum3,2.1811157723066867,5.325814977792497,5
1,family_consumption_volatility3,2.902235614203886,5.325814977792497,5
1,family_consumption_change1,1.6682284566781918,5.325814977792497,5
1,family_consumption_trend3,1.9289999413905983,5.325814977792497,5
1,consumption_community_lag1,3.0680909708129844,5.325814977792497,5
1,consumption_hospital_lag1,1.800458071268339,5.325814977792497,5
1,hospital_community_ratio_lag1,4.185607625099316,5.325814977792497,5
1,reserve_pct_lag1,3.021976837386855,5.325814977792497,5
1,reserve_pct_lag2,2.27108853499902,5.325814977792497,5
1,reserve_pct_lag3,1.4558245206344589,5.325814977792497,5
1,reserve_mean3,2.2091181151943613,5.325814977792497,5
1,reserve_change1,1.92366187145195,5.325814977792497,5
1,ast_tested_per_100k,4.2873212094139905,5.325814977792497,5
1,reported_resistant_per_100k,3.166483852261484,5.325814977792497,5
1,tested_growth1,0.226993245562302,5.325814977792497,5
1,testing_volatility4,1.3699887541087452,5.325814977792497,5
1,population,3.6990975695103328,5.325814977792497,5
1,age65_pct,1.0820904130067912,5.325814977792497,5
1,urban_pct,5.325814977792497,5.325814977792497,5
1,gdp_per_capita,4.165357752868136,5.325814977792497,5
1,health_expenditure_pct_gdp,4.970705589564792,5.325814977792497,5
1,log_population,4.077421113214606,5.325814977792497,5
1,population_growth1,2.2838666583144733,5.325814977792497,5
1,population_growth3,2.2305486096705636,5.325814977792497,5
1,age65_change1,1.78227131950089,5.325814977792497,5
1,urban_change1,3.1671746734464326,5.325814977792497,5
1,log_gdp_per_capita,4.488048967021976,5.325814977792497,5
1,gdp_growth1,-0.4214660940849927,5.325814977792497,5
1,health_expenditure_change1,1.1860059508677405,5.325814977792497,5
1,eu_resistance_excl_country,-0.26359664039014796,5.325814977792497,5
1,resistance_gap_to_eu,-0.8855126914125179,5.325814977792497,5
1,eu_resistance_change1,-0.068928100793062,5.325814977792497,5
1,other_antibiotic_mean,0.9267408400000345,5.325814977792497,5
1,other_antibiotic_sd,0.4585584128083992,5.325814977792497,5
1,other_high_resistance_count,0.579470930462757,5.325814977792497,5
1,country_profile_gap,1.4604490229172373,5.325814977792497,5
1,trend_x_volatility,-0.14839619535990267,5.325814977792497,5
1,resistance_x_consumption,1.5847228553940569,5.325814977792497,5
1,trend_x_consumption,2.5021917624130956,5.325814977792497,5
