TargetYear,N,ModelRMSE,PersistenceRMSE,RMSEDifference,Skill,ModelMAE,PersistenceMAE,ModelWeightedRMSE,PersistenceWeightedRMSE,WeightedSkill,ModelR2,ModelWins,Horizon,Evaluation
2019,144,2.484529649808551,2.5342955155712286,-0.049765865762677386,0.019636962405096714,1.5155270484656744,1.50034600866346,1.4738377271925103,1.4927598378391405,0.012675924262553262,0.9845649007494023,True,1,Frozen specification
2020,144,2.1023037596565404,2.4777366618839034,-0.37543290222736303,0.15152251972649478,1.3831687619513664,1.5751676156435854,1.1393838071716256,1.5302952103451297,0.2554483608985101,0.9883983552190762,True,1,Frozen specification
2021,144,2.0779905004350203,2.343441702358005,-0.26545120192298466,0.11327407959663938,1.3442145172523097,1.5109684355035107,1.4567016045572654,1.638833020555827,0.11113482198252866,0.9882181157942894,True,1,Frozen specification
2022,144,1.7315127684205303,1.8261521283099529,-0.09463935988942263,0.051824466550335235,1.1756629579093965,1.1218857559892563,1.123111723123049,0.881475203701687,-0.2741274155037239,0.9917619782494198,True,1,Frozen specification
2023,144,3.034265929448229,2.4613571410259882,0.5729087884222408,-0.23276134083631206,1.7292951964800887,1.4295563341569402,1.6900049774909893,1.3003594696633898,-0.29964445748871493,0.9752522009673756,False,1,Frozen specification
Pooled,720,2.328755865107189,2.3429324492886776,-0.014176584181488483,0.006050786562707966,1.4295736964117671,1.4275848299913503,1.390959095824084,1.3856348181949003,-0.0038424825641432125,0.9856098510323541,True,1,Frozen specification
2019,144,2.485898726897669,2.5342955155712286,-0.048396788673559676,0.019096742418632684,1.5342001699361962,1.50034600866346,1.4892996141749852,1.4927598378391405,0.002318004260594364,0.9845478853251697,True,1,Partial pooling
2020,144,2.1298726190913966,2.4777366618839034,-0.3478640427925068,0.14039588958094296,1.3769068231396342,1.5751676156435854,1.151544102865083,1.5302952103451297,0.24750198845268978,0.9880920804732441,True,1,Partial pooling
2021,144,2.1041623901092263,2.343441702358005,-0.23927931224877863,0.10210593760792608,1.3520267884495918,1.5109684355035107,1.4560919124139806,1.638833020555827,0.11150685020971074,0.987919465724233,True,1,Partial pooling
2022,144,1.7201920647597706,1.8261521283099529,-0.10596006355018228,0.058023678261813316,1.1682735525973311,1.1218857559892563,1.1382455738089898,0.881475203701687,-0.2912961919167045,0.9918693471757254,True,1,Partial pooling
2023,144,3.0225465529875564,2.4613571410259882,0.5611894119615681,-0.22799999342137034,1.7330527932310038,1.4295563341569402,1.707318693374453,1.3003594696633898,-0.3129590187984008,0.9754430007751926,False,1,Partial pooling
Pooled,720,2.3340264618266997,2.3429324492886776,-0.008905987461977904,0.0038012139294421043,1.4328920254707513,1.4275848299913503,1.4027433280842914,1.3856348181949003,-0.012347055418020503,0.985544639816822,True,1,Partial pooling
2021,144,2.220328019789283,2.343441702358005,-0.12311368256872202,0.05253541508834769,1.4406199684855454,1.5109684355035107,1.4889548380916384,1.638833020555827,0.09145421198149639,0.9865487726334735,True,1,Nested pipeline
2022,144,1.7302190623216567,1.8261521283099529,-0.0959330659882962,0.052532899368619046,1.1499317212654607,1.1218857559892563,1.1115008402430138,0.881475203701687,-0.2609553117040071,0.9917742837868102,True,1,Nested pipeline
2023,144,3.0342659294482566,2.4613571410259882,0.5729087884222683,-0.23276134083632338,1.7292951964801222,1.4295563341569402,1.690004977491033,1.3003594696633898,-0.2996444574887487,0.9752522009673752,False,1,Nested pipeline
Pooled,432,2.3895804547865107,2.2274671403308575,0.16211331445565325,-0.07277921704002055,1.4399489620770427,1.3541368418832358,1.444277746438817,1.3019621252147877,-0.10930857239841063,0.9844633425474493,False,1,Nested pipeline
