NominalCoverage,EmpiricalCoverage,AverageWidth,MedianWidth,EvaluatedRows,EvaluatedTargetYears,Horizon
0.8,0.8072916666666666,4.3479503713201915,4.542838451589276,576,4,1
0.95,0.9722222222222222,9.863338779969546,11.40784147990476,576,4,1
0.8,0.8480565371024735,5.102761936859279,5.670560908441402,283,2,3
0.95,0.9681978798586572,9.859206027381493,10.534813577477067,283,2,3
0.8,0.8833922261484098,5.442776034037661,6.202830923974176,283,2,5
0.95,0.9752650176678446,10.239819796677478,11.414529563271046,283,2,5
