Horizon,OuterTargetYear,InnerValidationYear,Shrinkage,RMSE,MAE,R2,WeightedRMSE
3,2021,2020,2.0,2.277665822590982,1.588710132536981,0.9863821470482552,1.526436199455042
3,2021,2020,5.0,2.278796919806407,1.5887337947291733,0.9863686183382725,1.5278675348888766
3,2021,2020,10.0,2.2807575698370552,1.5892395356971067,0.9863451516869295,1.5299797695698687
3,2021,2020,20.0,2.28409597031477,1.5904964134865864,0.98630514856259,1.533163462127106
3,2021,2020,50.0,2.2898231898388395,1.5964536824584006,0.9862363845921978,1.5381201606552644
3,2022,2021,2.0,2.5719104768949816,1.8098036703930598,0.9819515741478916,2.0739300043707547
3,2022,2021,5.0,2.5685459990244603,1.808566262896514,0.9819987638240395,2.0753209643575037
3,2022,2021,10.0,2.5644732339597938,1.8069944633717985,0.982055805185765,2.077257136161974
3,2022,2021,20.0,2.5594839666162708,1.8060121204950899,0.9821255593121044,2.080093062025558
3,2022,2021,50.0,2.553349822795709,1.805710415276691,0.9822111335939806,2.0845334937251345
3,2023,2022,2.0,2.143010565981851,1.3647829863246048,0.987381138840544,1.518080959576325
3,2023,2022,5.0,2.1445513477421385,1.3660966119051474,0.9873629868995774,1.5181830331637023
3,2023,2022,10.0,2.146765509907455,1.367862652650517,0.9873368790233259,1.5184134645676255
3,2023,2022,20.0,2.1501758509568214,1.3704672217929357,0.9872966139237939,1.5189192581076079
3,2023,2022,50.0,2.155958531531235,1.3745223809663958,0.9872281930967481,1.5200385643795995
