Horizon,RecommendedForecast,OptimizedRMSE,PersistenceRMSE,RMSEImprovementVsPersistencePct,PreviousModelRMSE,RMSEImprovementVsPreviousModelPct,Decision
1,Persistence,3.034265929448222,2.461357141025988,-23.276134083630946,2.974732333929104,-2.0013093225259886,Retain persistence baseline
3,Extra trees,2.0881892003971463,2.330583783474557,10.400595112527395,2.294529435293,8.992703764094673,Use optimized model
5,Extra trees,1.976973524190424,3.4716432835066398,43.053667593592124,2.672347316478121,26.021085956900542,Use optimized model
