Model,ParameterSet,Parameters,CV_RMSE,CV_MAE,CV_R2,CV_WeightedRMSE,FoldRMSEMean,FoldRMSESD,Stage
Extra trees,1,"{'n_estimators': 150, 'max_depth': None, 'min_samples_leaf': 2, 'max_features': 0.7}",2.8195147400871536,1.957415918707986,0.9792367091198728,2.2226509527932508,2.7989619064441795,0.3346502913217135,Base feature tuning
Gradient boosting,2,"{'n_estimators': 100, 'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 3}",2.8444449601765482,2.0115836902645006,0.9788679067385009,2.404145492790625,2.8287434054679386,0.2967910584920273,Base feature tuning
Gradient boosting,4,"{'n_estimators': 200, 'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 3}",2.8567090294503825,1.9572480850072487,0.9786852882196819,2.273312605675719,2.8390099646923166,0.3160384321862964,Base feature tuning
Histogram gradient boosting,2,"{'max_iter': 200, 'learning_rate': 0.05, 'max_leaf_nodes': 31, 'l2_regularization': 1.0}",2.8586446126349134,1.962582277178453,0.9786563945703393,2.2067795734992006,2.8428348015188822,0.2977647422124674,Base feature tuning
Histogram gradient boosting,1,"{'max_iter': 200, 'learning_rate': 0.05, 'max_leaf_nodes': 15, 'l2_regularization': 1.0}",2.8766307572120593,1.9708559388404707,0.978386968383778,2.224156048450364,2.8555794179388965,0.3450390684410611,Base feature tuning
Gradient boosting,3,"{'n_estimators': 200, 'learning_rate': 0.05, 'max_depth': 2, 'min_samples_leaf': 3}",2.879306621110317,2.001605583125388,0.9783467404681967,2.4029897647011964,2.8630025569750206,0.30520243350399695,Base feature tuning
Histogram gradient boosting,3,"{'max_iter': 200, 'learning_rate': 0.1, 'max_leaf_nodes': 15, 'l2_regularization': 1.0}",2.8875818583006727,1.9731473015611936,0.9782220970205314,2.1924052212569416,2.8678028356109913,0.3354609214976816,Base feature tuning
Histogram gradient boosting,4,"{'max_iter': 200, 'learning_rate': 0.1, 'max_leaf_nodes': 31, 'l2_regularization': 1.0}",2.9077496309571176,1.995531136004342,0.9779168273423271,2.170730315517459,2.8936808501476854,0.28311634954344445,Base feature tuning
Extra trees,2,"{'n_estimators': 150, 'max_depth': None, 'min_samples_leaf': 5, 'max_features': 0.7}",2.913725416320033,2.0625284260369705,0.9778259667675291,2.419590550406386,2.8952460555782538,0.3222921832469766,Base feature tuning
Gradient boosting,1,"{'n_estimators': 100, 'learning_rate': 0.05, 'max_depth': 2, 'min_samples_leaf': 3}",2.9158986722273883,2.082958716607193,0.9777928766073606,2.5398714679763015,2.9029064235643864,0.27359275087826235,Base feature tuning
Random forest,1,"{'n_estimators': 150, 'max_depth': None, 'min_samples_leaf': 2, 'max_features': 0.7}",2.9305259558663015,2.007358096588344,0.9775695186200545,2.5145244147505603,2.9074414115169582,0.36442397770457496,Base feature tuning
Ridge,3,{'alpha': 10.0},2.9348254775111458,2.060706673122995,0.9775036525687849,2.1926251805312997,2.9195494359640124,0.29457152975250483,Base feature tuning
Ridge,2,{'alpha': 1.0},2.9472592634190593,2.0598980346567313,0.9773126311301474,2.188916086376637,2.9336263628469026,0.2788221307833915,Base feature tuning
Ridge,1,{'alpha': 0.1},2.953086664549941,2.0619358694317222,0.9772228262706485,2.188241210813789,2.940014307912668,0.27334591075758474,Base feature tuning
Random forest,2,"{'n_estimators': 150, 'max_depth': None, 'min_samples_leaf': 5, 'max_features': 0.7}",2.9667192215737948,2.0577071366556776,0.9770120448930402,2.587275487654692,2.9474622199215075,0.33474553767646875,Base feature tuning
Ridge,4,{'alpha': 100.0},2.981018348193816,2.2469963948128906,0.9767899141039589,2.242754915089592,2.9696585121030763,0.2581442183555978,Base feature tuning
ANN,1,"{'hidden_layer_sizes': (32,), 'alpha': 0.01}",3.2506563840680496,2.2416768683006216,0.9724012395023497,2.5236959374288155,3.245499771888801,0.18699826786350596,Base feature tuning
Ridge,5,{'alpha': 300.0},3.665276495233575,2.9782619657965417,0.964911812660145,2.956211208290393,3.6208495913730347,0.5773930200853074,Base feature tuning
Extra trees,1,"{'n_estimators': 150, 'max_depth': None, 'min_samples_leaf': 2, 'max_features': 0.7}",2.325036882836751,1.5568160730421658,0.9858808958208267,1.6297674045883066,2.3140752820611725,0.2232795660251775,Optimized feature retuning
Extra trees,2,"{'n_estimators': 150, 'max_depth': None, 'min_samples_leaf': 5, 'max_features': 0.7}",2.573890678951226,1.7788720582849191,0.982696751548204,1.9323120813909163,2.5602830242406163,0.2618430890147338,Optimized feature retuning
Random forest,1,"{'n_estimators': 150, 'max_depth': None, 'min_samples_leaf': 2, 'max_features': 0.7}",2.6966297064218034,1.8348929399208298,0.9810071526226048,2.1690600333560357,2.687373770683375,0.22164306431705258,Optimized feature retuning
Gradient boosting,4,"{'n_estimators': 200, 'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 3}",2.7374204449121957,1.869678180192559,0.9804282138184701,2.1935922812718873,2.7219929860025944,0.29199441443286256,Optimized feature retuning
Gradient boosting,2,"{'n_estimators': 100, 'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 3}",2.7397164013722297,1.9159088093145604,0.9803953691646118,2.228050604851507,2.725381327942501,0.28171572419715574,Optimized feature retuning
Ridge,3,{'alpha': 10.0},2.7570495205738768,1.8600126924496603,0.9801465227337092,1.9680958729060576,2.7406644704446075,0.2961788747017686,Optimized feature retuning
Histogram gradient boosting,2,"{'max_iter': 200, 'learning_rate': 0.05, 'max_leaf_nodes': 31, 'l2_regularization': 1.0}",2.768648126443822,1.840723319966223,0.9799791285522232,2.163419912905555,2.757123652246812,0.2547890729687966,Optimized feature retuning
Histogram gradient boosting,1,"{'max_iter': 200, 'learning_rate': 0.05, 'max_leaf_nodes': 15, 'l2_regularization': 1.0}",2.770205997820209,1.8559202490898823,0.9799565914032898,2.139041050534978,2.755976564955224,0.28259213846719206,Optimized feature retuning
Ridge,4,{'alpha': 100.0},2.7706329443571693,1.9357853934625648,0.9799504127123637,1.9671144085233554,2.752941816658891,0.30930197887726074,Optimized feature retuning
Histogram gradient boosting,3,"{'max_iter': 200, 'learning_rate': 0.1, 'max_leaf_nodes': 15, 'l2_regularization': 1.0}",2.7733416490260163,1.8466615281914378,0.9799111906580179,2.122657177068648,2.7581383504927794,0.2926400104406113,Optimized feature retuning
Gradient boosting,3,"{'n_estimators': 200, 'learning_rate': 0.05, 'max_depth': 2, 'min_samples_leaf': 3}",2.8029285924781733,1.9308322133270464,0.9794802759042399,2.348487583026467,2.7913645306009096,0.2566073105435054,Optimized feature retuning
Histogram gradient boosting,4,"{'max_iter': 200, 'learning_rate': 0.1, 'max_leaf_nodes': 31, 'l2_regularization': 1.0}",2.8034199831549524,1.8644939341942948,0.9794730805122506,2.1310712281755064,2.79008735900803,0.27547158328636867,Optimized feature retuning
Random forest,2,"{'n_estimators': 150, 'max_depth': None, 'min_samples_leaf': 5, 'max_features': 0.7}",2.814647885864543,1.9176313290977038,0.9793083276108133,2.3284364096143366,2.8044111508312586,0.23765076745372757,Optimized feature retuning
Ridge,2,{'alpha': 1.0},2.8362668498639683,1.8959514105796158,0.9789892465095913,2.046537082275291,2.8249510439111463,0.250235449279625,Optimized feature retuning
Gradient boosting,1,"{'n_estimators': 100, 'learning_rate': 0.05, 'max_depth': 2, 'min_samples_leaf': 3}",2.8477560865671014,2.022142781156752,0.9788186797306497,2.4291981584890334,2.8378764671779964,0.23788537966661163,Optimized feature retuning
Ridge,1,{'alpha': 0.1},2.878304123037011,1.9264699362028432,0.9783618160227353,2.0793429248164883,2.8672278956546404,0.2505391323998343,Optimized feature retuning
Ridge,5,{'alpha': 300.0},3.191650039649614,2.4030874477206368,0.9733940984116182,2.394394301819889,3.1693025979736253,0.3823087280458367,Optimized feature retuning
ANN,1,"{'hidden_layer_sizes': (32,), 'alpha': 0.01}",3.542325062286358,2.4317617417646864,0.9672263906264447,3.047955930860347,3.5064830366893083,0.5079431292403159,Optimized feature retuning
