Feature,ImportanceMean,ImportanceSD,Horizon
resistance_pct,6.194034479931878,0.30200407658507467,1
resistance_lag3,5.78737871471691,0.2594521735902852,1
resistance_lag2,2.9315061768653283,0.19823917005281685,1
resistance_lag1,2.5144079911120367,0.18541252279190548,1
antibiotic,0.49551859862110514,0.08572581991884055,1
resistance_trend4,0.1686751429431996,0.03516293956583479,1
ast_tested_per_100k,0.02830154905213312,0.01484006584511775,1
tested_growth1,0.011828243634639317,0.006881328027879213,1
resistance_volatility4,0.011748756622269952,0.004642848058027632,1
testing_volatility4,0.010757338057210752,0.007525751100783456,1
log_tested,0.005427728740281672,0.022791202340198716,1
reported_resistant_per_100k,0.0014010892464172938,0.0016017987059229804,1
breakpoint_change_from_prior,0.0,0.0,1
origin_year_index,0.0,0.0,1
ast_standard,0.0,0.0,1
ast_version,0.0,0.0,1
