Model,ParameterSet,Parameters,CV_RMSE,CV_MAE,CV_R2,CV_WeightedRMSE,FoldRMSEMean,FoldRMSESD,Stage
Extra trees,1,"{'n_estimators': 150, 'max_depth': None, 'min_samples_leaf': 2, 'max_features': 0.7}",3.07166020549928,2.2258762843775752,0.9745392974495339,2.377571446594507,3.066774990815689,0.16870562488003651,Base feature tuning
Gradient boosting,2,"{'n_estimators': 100, 'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 3}",3.125574445707643,2.2891281041620677,0.9736376734353325,2.699738211509853,3.120599881845859,0.1698721873366266,Base feature tuning
Gradient boosting,4,"{'n_estimators': 200, 'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 3}",3.1275704449990935,2.220818095526141,0.9736039925952649,2.626207176441768,3.1225606554793437,0.1706222336097324,Base feature tuning
Histogram gradient boosting,2,"{'max_iter': 200, 'learning_rate': 0.05, 'max_leaf_nodes': 31, 'l2_regularization': 1.0}",3.1528413292449113,2.208177444337499,0.9731757078576179,2.701185938956402,3.15028465357408,0.12854832190036966,Base feature tuning
Histogram gradient boosting,3,"{'max_iter': 200, 'learning_rate': 0.1, 'max_leaf_nodes': 15, 'l2_regularization': 1.0}",3.1577586183512323,2.2251345392574273,0.9730919702723619,2.6240219023318163,3.1553978545047277,0.117984657792647,Base feature tuning
Histogram gradient boosting,1,"{'max_iter': 200, 'learning_rate': 0.05, 'max_leaf_nodes': 15, 'l2_regularization': 1.0}",3.162933839626344,2.2254651004597275,0.9730036993583171,2.675242354361444,3.1596606406785703,0.1447659518875295,Base feature tuning
Histogram gradient boosting,4,"{'max_iter': 200, 'learning_rate': 0.1, 'max_leaf_nodes': 31, 'l2_regularization': 1.0}",3.166060657845411,2.2207940953837544,0.9729502968824445,2.684517256518566,3.1640219524333797,0.10862850653290344,Base feature tuning
Random forest,1,"{'n_estimators': 150, 'max_depth': None, 'min_samples_leaf': 2, 'max_features': 0.7}",3.1928049799172,2.3095966965216057,0.9724913786811508,2.832387301090127,3.1902884047040065,0.11878218125227691,Base feature tuning
Extra trees,2,"{'n_estimators': 150, 'max_depth': None, 'min_samples_leaf': 5, 'max_features': 0.7}",3.208508673819864,2.4010062015915468,0.9722201129273004,2.7479633256847524,3.2033403817447677,0.1784715125948713,Base feature tuning
Gradient boosting,3,"{'n_estimators': 200, 'learning_rate': 0.05, 'max_depth': 2, 'min_samples_leaf': 3}",3.2154049707275663,2.2803629929512197,0.9721005656510259,2.825230622049979,3.212701313208108,0.12600657349475974,Base feature tuning
Gradient boosting,1,"{'n_estimators': 100, 'learning_rate': 0.05, 'max_depth': 2, 'min_samples_leaf': 3}",3.242193772414531,2.3867836299762604,0.97163374680198,2.9645066969931,3.237168473533304,0.17290891527958271,Base feature tuning
Random forest,2,"{'n_estimators': 150, 'max_depth': None, 'min_samples_leaf': 5, 'max_features': 0.7}",3.2868109477121794,2.4037018540585278,0.9708476553117159,3.062662643468199,3.2836222476678123,0.14132516585562427,Base feature tuning
Ridge,3,{'alpha': 10.0},3.2990447666395375,2.446439266583164,0.9706302359078764,2.61587292023385,3.2947822197897487,0.16021941918579546,Base feature tuning
Ridge,2,{'alpha': 1.0},3.327817392298916,2.461690926432609,0.9701157049937472,2.5879896540128007,3.3248416668798426,0.13498161020750063,Base feature tuning
Ridge,4,{'alpha': 100.0},3.338898418135549,2.641968514840029,0.9699163551266661,2.6231520887237525,3.337640459449659,0.08534417922552051,Base feature tuning
Ridge,1,{'alpha': 0.1},3.3422752296111247,2.4663285223265836,0.9698554738690399,2.5833650788273563,3.339861963808778,0.12243078082120999,Base feature tuning
ANN,1,"{'hidden_layer_sizes': (32,), 'alpha': 0.01}",3.476931564287837,2.4719488985025784,0.967377568651348,2.602663253597651,3.476920229174139,0.005219283595538111,Base feature tuning
Ridge,5,{'alpha': 300.0},4.15026950066349,3.5025293328329536,0.9535188742111365,3.3441693721171166,4.131423889669187,0.4085064752452177,Base feature tuning
