Model,ParameterSet,Parameters,CV_RMSE,CV_MAE,CV_R2,CV_WeightedRMSE,FoldRMSEMean,FoldRMSESD,Stage
Extra trees,1,"{'n_estimators': 150, 'max_depth': None, 'min_samples_leaf': 2, 'max_features': 0.7}",2.392866516157989,1.663830733955272,0.9845488437011625,1.7470950162401768,2.3779494886861365,0.2714120052090292,Optimized feature retuning
Gradient boosting,4,"{'n_estimators': 200, 'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 3}",2.7608800083780145,1.916700287274526,0.9794307193108782,2.411196831738716,2.7569278339880525,0.14997652603368497,Optimized feature retuning
Histogram gradient boosting,2,"{'max_iter': 200, 'learning_rate': 0.05, 'max_leaf_nodes': 31, 'l2_regularization': 1.0}",2.8489803540053775,1.9919773683630921,0.9780970329680418,2.368986915556694,2.844450771089713,0.16567927446010958,Optimized feature retuning
Histogram gradient boosting,1,"{'max_iter': 200, 'learning_rate': 0.05, 'max_leaf_nodes': 15, 'l2_regularization': 1.0}",2.8491932592482736,1.9952637400682558,0.9780937592138,2.3434871234745396,2.8458099277448596,0.1446583183166249,Optimized feature retuning
Histogram gradient boosting,4,"{'max_iter': 200, 'learning_rate': 0.1, 'max_leaf_nodes': 31, 'l2_regularization': 1.0}",2.899816316724462,1.9962389743518938,0.9773084052423128,2.2809847924439706,2.892844531029509,0.2084082369939935,Optimized feature retuning
Histogram gradient boosting,3,"{'max_iter': 200, 'learning_rate': 0.1, 'max_leaf_nodes': 15, 'l2_regularization': 1.0}",2.9011237661279563,1.9877180942839223,0.9772879385664498,2.2776975006515214,2.895326871000646,0.1913966120466066,Optimized feature retuning
Extra trees,2,"{'n_estimators': 150, 'max_depth': None, 'min_samples_leaf': 5, 'max_features': 0.7}",2.911053908839669,2.109687375681688,0.9771321920245689,2.3832814361988564,2.8991617307765036,0.2670337954842452,Optimized feature retuning
Gradient boosting,2,"{'n_estimators': 100, 'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 3}",2.912184196904992,2.1055361388197014,0.9771144306026571,2.5924975705383484,2.9072997072857016,0.16671940513907632,Optimized feature retuning
Random forest,1,"{'n_estimators': 150, 'max_depth': None, 'min_samples_leaf': 2, 'max_features': 0.7}",2.9399295347454752,2.095413447106106,0.9766762765674807,2.6965396935507933,2.936245568427342,0.14891055316325344,Optimized feature retuning
Gradient boosting,3,"{'n_estimators': 200, 'learning_rate': 0.05, 'max_depth': 2, 'min_samples_leaf': 3}",2.9425004905609917,2.068655053276667,0.9766354657378775,2.6331079862983273,2.9381092960084843,0.15946633264322577,Optimized feature retuning
Ridge,3,{'alpha': 10.0},2.952421491850284,2.1202874712836466,0.9764776473479534,2.3338782669755074,2.936562943938599,0.3028347675602151,Optimized feature retuning
Ridge,4,{'alpha': 100.0},3.05681406173786,2.2109985929323797,0.974784819255057,2.1409249906791503,3.054425564730551,0.12147340546676244,Optimized feature retuning
Ridge,2,{'alpha': 1.0},3.0808542801553047,2.2198388764945016,0.9743866517015343,2.5204237514070296,3.052040686183418,0.4186232205765079,Optimized feature retuning
Ridge,1,{'alpha': 0.1},3.1390158455577826,2.262111544530904,0.9734104457658727,2.615701592630547,3.1059333793871367,0.4538231196650841,Optimized feature retuning
Gradient boosting,1,"{'n_estimators': 100, 'learning_rate': 0.05, 'max_depth': 2, 'min_samples_leaf': 3}",3.140049019810378,2.3065124425464236,0.9733929395376937,2.8863682537512796,3.13359418635088,0.19679614122509126,Optimized feature retuning
Random forest,2,"{'n_estimators': 150, 'max_depth': None, 'min_samples_leaf': 5, 'max_features': 0.7}",3.163129138577298,2.295616482292616,0.9730003654207541,3.015570371351396,3.1595829150182966,0.14870264636713582,Optimized feature retuning
Ridge,5,{'alpha': 300.0},3.600681578281759,2.7327501969993238,0.965014065868366,2.4822944979931467,3.59142498248481,0.26935269839621767,Optimized feature retuning
ANN,1,"{'hidden_layer_sizes': (32,), 'alpha': 0.01}",3.790935185673209,2.870337986355486,0.9612192004161065,3.973897239226244,3.762102089282157,0.47399934778096026,Optimized feature retuning
