Horizon,OriginalModel,OriginalRMSE,OriginalMAE,OriginalR2,OptimizedModel,OptimizedRMSE,OptimizedMAE,OptimizedR2,RMSEChangePct
1,Ridge,2.974732333929104,1.6440438700723303,0.9762137988323308,Ridge,3.034265929448222,1.7292951964801069,0.9752522009673757,2.0013093225259886
3,Gradient boosting,2.294529435293,1.571218534862853,0.9859319875660496,Extra trees,2.0881892003971463,1.3980354088598874,0.9883484107161731,-8.992703764094673
5,Gradient boosting,2.672347316478121,1.8588679259275092,0.9809176753894427,Extra trees,1.976973524190424,1.3266661941622846,0.9895564732571248,-26.021085956900542
