Feature,ImportanceMean,ImportanceSD,Horizon
resistance_pct,5.15866822875476,0.3087601509757851,3
resistance_lag1,3.9566684499427764,0.2568232065993131,3
antibiotic,2.926973173022823,0.20130422477639703,3
antibiotic_family,2.5619130115840396,0.18719387643787216,3
resistance_lag2,2.362358818574675,0.17441446717212614,3
resistance_lag3,0.8377697810925336,0.07129693875641503,3
country,0.3325045800364686,0.05818009895532212,3
log_gdp_per_capita,0.17163928593905753,0.02628766817117244,3
family_consumption_lag3,0.09477544219042207,0.06465324547153187,3
population_growth3,0.02832430495434671,0.004661713699918451,3
population_growth1,0.025236676931112888,0.008236334938837197,3
log_tested,0.02420446064212524,0.009112856731805764,3
urban_change1,0.02113838018600657,0.006917677907752324,3
resistance_volatility4,0.01770119775273263,0.009940453410145685,3
age65_change1,0.016557026967935387,0.011146409240891305,3
log_population,0.015875129759062644,0.00909673221193705,3
family_consumption_lag1,0.010384339425639854,0.018010380027795515,3
health_expenditure_change1,0.002815952539355138,0.00244852057461977,3
family_consumption_lag2,0.002690963866352014,0.016159662678796344,3
gdp_growth1,-0.0007167268631327773,0.004901424493324281,3
resistance_trend4,-0.004328561125492462,0.006096916017585903,3
