Feature,Group,Horizon,AvailableN,MissingPct,UniqueValues,StandardDeviation,Pearson,Spearman,MutualInformation
resistance_pct,Resistance history/base,5,858,0.0,773,20.45935927880536,0.9842434991088571,0.977074991741708,1.7263143384644861
resistance_lag1,Resistance history/base,5,858,0.0,770,20.482264246381778,0.9818938118309105,0.9725515752699718,1.6501998010462904
resistance_lag2,Resistance history/base,5,858,0.0,764,20.472728798269966,0.980345350147843,0.970381907164643,1.6307503405128267
resistance_lag3,Resistance history/base,5,858,0.0,761,20.41129213442514,0.9745393014595158,0.9629886304220979,1.5134254670790757
family_consumption_lag1,Consumption,5,496,42.19114219114219,486,3.278070512388037,0.8535292573611729,0.8985550934410704,0.7751764547438742
family_consumption_lag2,Consumption,5,392,54.312354312354316,386,3.252856398175077,0.8530806372478645,0.8952484891794825,0.6536809804064139
resistance_volatility4,Resistance history/base,5,858,0.0,794,1.3332262305017917,0.44900176583738255,0.6841682680390604,0.5622728089621507
family_consumption_lag3,Consumption,5,289,66.31701631701632,285,3.1881740415586712,0.8575752346266341,0.8944487307710098,0.43838975094654975
resistance_trend4,Resistance history/base,5,858,0.0,810,1.1946161999173295,0.06506014201242447,0.09314083215604439,0.3874182649290483
population,Demographics,5,858,0.0,173,20977876.453310285,0.012526603961621271,0.03166531823556023,0.3644529940183321
urban_pct,Demographics,5,858,0.0,173,12.269882725010815,-0.11811838444137739,-0.150644654087554,0.2819914675817987
health_expenditure_pct_gdp,Demographics,5,858,0.0,173,1.8202758099853336,-0.16170536637523547,-0.1818089450306225,0.16984692042002614
log_tested,Resistance history/base,5,858,0.0,664,1.3913874885852517,-0.15379181275251885,-0.16546227743859543,0.16728081920445614
consumption_community,Consumption,5,778,9.324009324009324,157,3.8885691357861463,0.170484363173258,0.20266714356278975,0.16637519906837417
gdp_per_capita,Demographics,5,858,0.0,173,24781.989241829728,-0.1718435021056762,-0.2394276822433846,0.15524814862809766
reserve_pct_lag1,Prescribing behaviour,5,550,35.8974358974359,111,1.64875314455191,0.09116143476201723,0.10011352022813229,0.08632051916578165
consumption_hospital,Consumption,5,669,22.02797202797203,135,0.28322151971876264,-0.001226366746563966,-0.005875216708155986,0.08398080297101984
breakpoint_change_from_prior,Resistance history/base,5,858,0.0,1,0.0,,,0.0
age65_pct,Demographics,5,858,0.0,173,2.520625821671517,-0.03334221147567433,0.005418292875399292,0.0
