Feature,ImportanceMean,ImportanceSD,Horizon
resistance_pct,6.172164826342154,0.326822143281448,1
resistance_lag3,5.76227190453334,0.2678969769700272,1
resistance_lag2,2.8545217072330176,0.20366280389791236,1
resistance_lag1,2.4591067218954565,0.19758172826875864,1
antibiotic_family,0.24282676252143126,0.059478213218330286,1
antibiotic,0.2428267625214265,0.059478213218328725,1
resistance_trend4,0.16851172552664204,0.03821457872351809,1
family_consumption_lag1,0.11882580646056243,0.05336697864123868,1
gdp_per_capita,0.08181491293988122,0.060898769098090604,1
family_consumption_lag3,0.041971355117955425,0.038560180250073295,1
resistance_volatility4,0.029440182875836652,0.010406571320221478,1
log_tested,0.02196452523125303,0.023663474407921773,1
reserve_pct_lag1,0.006656113365711436,0.00669322398553221,1
health_expenditure_pct_gdp,0.006529997370695817,0.008644102957390662,1
population,0.005858968163605649,0.0026210186785629364,1
consumption_community,0.004908649088442507,0.012773945593174749,1
ast_standard,0.0,0.0,1
ast_version,0.0,0.0,1
breakpoint_change_from_prior,0.0,0.0,1
age65_pct,-0.00045821372670373783,0.001085625749596422,1
consumption_hospital,-0.004835179257300837,0.0115974420220088,1
family_consumption_lag2,-0.005270773220868286,0.016568786065049145,1
urban_pct,-0.009872856414848075,0.010801109192968299,1
