Horizon,Feature,Group,Split,FeaturesUsed,RMSE,MAE,R2,WeightedRMSE,DeltaRMSE_vs_Base,RelativeRMSEChange_vs_Base_pct,EvidenceLabel
1,health_expenditure_pct_gdp,Demographics,Validation,resistance_pct; resistance_lag1; resistance_lag2; resistance_lag3; resistance_trend4; resistance_volatility4; log_tested; breakpoint_change_from_prior; health_expenditure_pct_gdp; antibiotic; ast_standard; ast_version,1.6582230457417906,1.0529236127458135,0.9924446005429707,0.9216232447519249,-0.000568464525287693,-0.034269799535938415,No material change
1,consumption_hospital,Consumption,Validation,resistance_pct; resistance_lag1; resistance_lag2; resistance_lag3; resistance_trend4; resistance_volatility4; log_tested; breakpoint_change_from_prior; consumption_hospital; antibiotic; ast_standard; ast_version; antibiotic_family,1.6587115319199144,1.0633009320396274,0.992440148485901,0.9268665155711157,-7.99783471638893e-05,-0.004821482788455564,No material change
1,Base resistance history,Reference,Validation,resistance_pct; resistance_lag1; resistance_lag2; resistance_lag3; resistance_trend4; resistance_volatility4; log_tested; breakpoint_change_from_prior; antibiotic; ast_standard; ast_version,1.6587915102670783,1.0538097757583889,0.9924394194392959,0.9196620904165955,0.0,0.0,Reference
1,population,Demographics,Validation,resistance_pct; resistance_lag1; resistance_lag2; resistance_lag3; resistance_trend4; resistance_volatility4; log_tested; breakpoint_change_from_prior; population; antibiotic; ast_standard; ast_version,1.6588131380819846,1.0557586704712518,0.9924392222838344,0.9188091638166752,2.1627814906333143e-05,0.001303829611646065,No material change
1,family_consumption_lag2,Consumption,Validation,resistance_pct; resistance_lag1; resistance_lag2; resistance_lag3; resistance_trend4; resistance_volatility4; log_tested; breakpoint_change_from_prior; family_consumption_lag2; antibiotic; ast_standard; ast_version; antibiotic_family,1.6612200070379337,1.0503575943163297,0.9924172656174968,0.9045039822797935,0.0024284967708554372,0.14640156739555718,No material change
1,family_consumption_lag3,Consumption,Validation,resistance_pct; resistance_lag1; resistance_lag2; resistance_lag3; resistance_trend4; resistance_volatility4; log_tested; breakpoint_change_from_prior; family_consumption_lag3; antibiotic; ast_standard; ast_version; antibiotic_family,1.6718823954218769,1.0516385709357452,0.992319615067898,0.9160281892877727,0.013090885154798615,0.7891820686187911,No material change
3,population,Demographics,Test,resistance_pct; resistance_lag1; resistance_lag2; resistance_lag3; resistance_trend4; resistance_volatility4; log_tested; breakpoint_change_from_prior; population; antibiotic; ast_standard; ast_version,2.372022569728514,1.6726812065219414,0.9849657035084676,1.7933927889176642,-0.13266211043477982,-5.29655934279643,Improved
3,gdp_per_capita,Demographics,Test,resistance_pct; resistance_lag1; resistance_lag2; resistance_lag3; resistance_trend4; resistance_volatility4; log_tested; breakpoint_change_from_prior; gdp_per_capita; antibiotic; ast_standard; ast_version,2.389029762537211,1.6551181049228303,0.984749341468695,1.7328338281768982,-0.11565491762608282,-4.6175440182970515,Improved
3,urban_pct,Demographics,Test,resistance_pct; resistance_lag1; resistance_lag2; resistance_lag3; resistance_trend4; resistance_volatility4; log_tested; breakpoint_change_from_prior; urban_pct; antibiotic; ast_standard; ast_version,2.4100738972018982,1.7381577814358793,0.9844794826097634,1.8854435690018694,-0.09461078296139558,-3.777353042109372,Improved
3,consumption_community,Consumption,Test,resistance_pct; resistance_lag1; resistance_lag2; resistance_lag3; resistance_trend4; resistance_volatility4; log_tested; breakpoint_change_from_prior; consumption_community; antibiotic; ast_standard; ast_version; antibiotic_family,2.4132770686418903,1.7023800044845232,0.9844381992984738,1.711479486433903,-0.09140761152140353,-3.649465828786248,Improved
3,age65_pct,Demographics,Test,resistance_pct; resistance_lag1; resistance_lag2; resistance_lag3; resistance_trend4; resistance_volatility4; log_tested; breakpoint_change_from_prior; age65_pct; antibiotic; ast_standard; ast_version,2.414800576529476,1.6651194682082604,0.9844185446885261,1.874408751010784,-0.0898841036338176,-3.588639494052304,Improved
3,health_expenditure_pct_gdp,Demographics,Test,resistance_pct; resistance_lag1; resistance_lag2; resistance_lag3; resistance_trend4; resistance_volatility4; log_tested; breakpoint_change_from_prior; health_expenditure_pct_gdp; antibiotic; ast_standard; ast_version,2.4214407690845254,1.6699569086405839,0.9843327354366396,1.7487548322508824,-0.08324391107876838,-3.32352857579427,Improved
3,family_consumption_lag1,Consumption,Test,resistance_pct; resistance_lag1; resistance_lag2; resistance_lag3; resistance_trend4; resistance_volatility4; log_tested; breakpoint_change_from_prior; family_consumption_lag1; antibiotic; ast_standard; ast_version; antibiotic_family,2.4662361833670947,1.7004112518230396,0.9837477008687857,1.7990938032502957,-0.038448496796199105,-1.5350633595001044,Improved
