Feature,ImportanceMean,ImportanceSD,Horizon
resistance_pct,12.571368460899874,0.5562650404265848,5
resistance_lag2,3.7298855191736635,0.24611697434983837,5
resistance_lag3,2.4714720580960643,0.14461062673907235,5
resistance_lag1,1.0340408056316353,0.117362683988621,5
urban_pct,0.19300667003152888,0.04660541897318581,5
consumption_community,0.167163716813736,0.04405614941406253,5
antibiotic,0.15878454858541477,0.01687265441527353,5
resistance_volatility4,0.12407296259443976,0.03299059616444834,5
gdp_per_capita,0.1212447162517182,0.042514394590242595,5
log_tested,0.09446062212438747,0.07170736669424206,5
population,0.0780245712028584,0.03440989324037065,5
family_consumption_lag1,0.07097764317240882,0.0236160992612553,5
family_consumption_lag3,0.0705481816548231,0.05729960124704142,5
family_consumption_lag2,0.06531199670690047,0.06304833655606822,5
antibiotic_family,0.055009508999505116,0.013776493287913761,5
reserve_pct_lag1,0.03178478460241663,0.026064930588445792,5
health_expenditure_pct_gdp,0.004662506583335846,0.007735372838401484,5
resistance_trend4,0.0021773727902668406,0.012218089216518846,5
age65_pct,0.0013565365206569258,0.004185686024257749,5
ast_standard,0.0,0.0,5
breakpoint_change_from_prior,0.0,0.0,5
ast_version,0.0,0.0,5
consumption_hospital,-0.008034334128124066,0.030064409408054958,5
