Feature,Group,Horizon,AvailableN,MissingPct,UniqueValues,StandardDeviation,Pearson,Spearman,MutualInformation
resistance_pct,Resistance history/base,1,1438,0.0,1300,20.050897203113426,0.9934997391733738,0.9885612842655985,2.058022173327639
resistance_lag1,Resistance history/base,1,1433,0.34770514603616137,1290,20.16953716256589,0.9906867302440061,0.9843940402525477,1.873423534815934
resistance_lag2,Resistance history/base,1,1433,0.34770514603616137,1286,20.29606856261991,0.9875807918243023,0.9803188750462821,1.7443435455633027
resistance_lag3,Resistance history/base,1,1433,0.34770514603616137,1281,20.376776154839064,0.9830006045452118,0.9749254794586217,1.6317409405280023
family_consumption_lag1,Consumption,1,921,35.95271210013908,900,3.211069372518066,0.8440623871324919,0.8997729584851447,0.8391258391972833
family_consumption_lag2,Consumption,1,811,43.602225312934635,792,3.266745191071566,0.8426049744987677,0.8987977310674936,0.7392579972388535
family_consumption_lag3,Consumption,1,702,51.18219749652295,687,3.3242226628246514,0.8476533725291534,0.8988949338239945,0.67411926123301
resistance_volatility4,Resistance history/base,1,1433,0.34770514603616137,1334,1.2467662253156817,0.48729441248068667,0.7004840021861423,0.5438878882129039
population,Demographics,1,1438,0.0,290,21146858.850042343,0.018463715988380095,0.04543115372411368,0.4197709138913637
resistance_trend4,Resistance history/base,1,1433,0.34770514603616137,1366,1.165204195482647,-0.027936852068338326,-0.07150660816623254,0.39204331699720907
urban_pct,Demographics,1,1438,0.0,290,12.89843012936667,-0.12252414453296342,-0.15910573603349498,0.3636215212907761
log_tested,Resistance history/base,1,1438,0.0,1060,1.4342243579988043,-0.14871642169085547,-0.15001495947647664,0.1702689790897418
gdp_per_capita,Demographics,1,1438,0.0,290,27155.92773301411,-0.16612987666700305,-0.23580493022237253,0.15941783000391485
consumption_community,Consumption,1,1323,7.99721835883171,267,3.9938373260269455,0.17632721276454422,0.2101191973640854,0.14285550767920352
health_expenditure_pct_gdp,Demographics,1,1438,0.0,290,1.8644340201182599,-0.1516692268638905,-0.16325473192583176,0.1384962329438313
reserve_pct_lag1,Prescribing behaviour,1,1061,26.21696801112656,213,2.4149360723996374,0.07362759078136968,0.1108771841742281,0.11083060963424352
consumption_hospital,Consumption,1,1195,16.89847009735744,240,0.2816495735079312,0.022359435755241148,0.006436085110034008,0.05710828818765101
breakpoint_change_from_prior,Resistance history/base,1,1438,0.0,2,0.3002897837069041,-0.018977434088009466,-0.016942022096910783,0.0
age65_pct,Demographics,1,1438,0.0,290,2.62875047300211,-0.02952047237499776,0.011964870171858419,0.0
