Metric,Mean,Median,Lower95,Upper95,MonteCarloSE,MonteCarloLower95,MonteCarloUpper95
Deaths avoided vs usual care,631.5196828807285,600.6460508525001,90.11080750535639,1338.4717463612963,,,
Incremental cost: forecast vs usual care (EUR),5992483.543320794,5656872.834765466,3066575.466601496,10591954.15596315,,,
Incremental cost: forecast vs persistence (EUR),-835422.4385974802,-319646.62521255855,-3467107.7527662865,245735.81470761605,,,
QALYs gained: forecast vs usual care,5052.363180856967,4664.916608642781,666.292163840014,11566.522701659047,,,
QALYs gained: forecast vs persistence,-556.9790130095147,-48.232623546411276,-2909.7284491061487,34.98877458834206,,,
Incremental NMB: forecast vs usual care (EUR),162163608.95548588,145497250.92118436,15688806.745063651,399153938.66136825,,,
Incremental NMB: forecast vs persistence (EUR),-17727615.421060488,-971416.3655311948,-97916718.64146851,1084434.6319923527,,,
Probability cost-effective vs usual care,0.98558,,,,0.000533142825141631,0.9845350592558642,0.9866249407441359
Probability cost-effective vs persistence planning,0.13924,,,,0.0015482391443184737,0.13620550701374498,0.14227449298625502
