CrossCountryCorrelation,Simulations,MeanIncrementalNMBVsPersistenceEUR,Lower95IncrementalNMBVsPersistenceEUR,Upper95IncrementalNMBVsPersistenceEUR,ProbabilityCostEffectiveVsPersistence,MonteCarloSE,MonteCarloLower95,MonteCarloUpper95
0.0,50000,-17717209.028494585,-97583211.74265796,1099669.2970237804,0.13918,0.0015479594800898375,0.1361460551455652,0.1422139448544348
0.25,50000,-17727615.421060488,-97916718.64146851,1084434.6319923527,0.13924,0.0015482391443184737,0.13620550701374498,0.14227449298625502
0.5,50000,-17733795.300780013,-98278550.00513998,1075912.5737706684,0.13914,0.001547772983353825,0.1361064206724539,0.14217357932754612
