country,iso3,year,sector,antibiotic_family,ddd_per_1000_per_day,access_pct,broad_narrow_ratio,oral_parenteral_ratio,reserve_pct,source_url
Austria,AUT,2020,hospital,J01DH_carbapenems,0.105,,,,5.271685666338753,https://www.ecdc.europa.eu/en/publications-data/downloadable-tables-antimicrobial-consumption-annual-epidemiological-report-2022
Austria,AUT,2020,hospital,J01D_other_beta_lactams,0.49429999999999996,,,,5.271685666338753,https://www.ecdc.europa.eu/en/publications-data/downloadable-tables-antimicrobial-consumption-annual-epidemiological-report-2022
Austria,AUT,2020,hospital,J01M_quinolones,0.1321,,,,5.271685666338753,https://www.ecdc.europa.eu/en/publications-data/downloadable-tables-antimicrobial-consumption-annual-epidemiological-report-2022
Austria,AUT,2021,community,J01C_penicillins,3.4556,,,,6.082162546683264,https://www.ecdc.europa.eu/en/publications-data/downloadable-tables-antimicrobial-consumption-annual-epidemiological-report-2022
Austria,AUT,2021,community,J01D_other_beta_lactams,1.0375999999999999,,,,6.082162546683264,https://www.ecdc.europa.eu/en/publications-data/downloadable-tables-antimicrobial-consumption-annual-epidemiological-report-2022
Austria,AUT,2021,community,J01M_quinolones,0.5153,,,,6.082162546683264,https://www.ecdc.europa.eu/en/publications-data/downloadable-tables-antimicrobial-consumption-annual-epidemiological-report-2022
Austria,AUT,2021,hospital,J01C_penicillins,0.6232999999999999,,,,6.082162546683264,https://www.ecdc.europa.eu/en/publications-data/downloadable-tables-antimicrobial-consumption-annual-epidemiological-report-2022
Austria,AUT,2021,hospital,J01DH_carbapenems,0.11249999999999999,,,,6.082162546683264,https://www.ecdc.europa.eu/en/publications-data/downloadable-tables-antimicrobial-consumption-annual-epidemiological-report-2022
Austria,AUT,2021,hospital,J01D_other_beta_lactams,0.48600000000000004,,,,6.082162546683264,https://www.ecdc.europa.eu/en/publications-data/downloadable-tables-antimicrobial-consumption-annual-epidemiological-report-2022
Austria,AUT,2021,hospital,J01M_quinolones,0.11750000000000001,,,,6.082162546683264,https://www.ecdc.europa.eu/en/publications-data/downloadable-tables-antimicrobial-consumption-annual-epidemiological-report-2022
Austria,AUT,2022,community,J01C_penicillins,4.453200000000001,,,,5.702308487423912,https://www.ecdc.europa.eu/en/publications-data/downloadable-tables-antimicrobial-consumption-annual-epidemiological-report-2022
Austria,AUT,2022,community,J01D_other_beta_lactams,1.1209,,,,5.702308487423912,https://www.ecdc.europa.eu/en/publications-data/downloadable-tables-antimicrobial-consumption-annual-epidemiological-report-2022
Austria,AUT,2022,community,J01M_quinolones,0.5656000000000001,,,,5.702308487423912,https://www.ecdc.europa.eu/en/publications-data/downloadable-tables-antimicrobial-consumption-annual-epidemiological-report-2022
Austria,AUT,2022,hospital,J01C_penicillins,0.6868,,,,5.702308487423912,https://www.ecdc.europa.eu/en/publications-data/downloadable-tables-antimicrobial-consumption-annual-epidemiological-report-2022
Austria,AUT,2022,hospital,J01DH_carbapenems,0.1031,,,,5.702308487423912,https://www.ecdc.europa.eu/en/publications-data/downloadable-tables-antimicrobial-consumption-annual-epidemiological-report-2022
Austria,AUT,2022,hospital,J01D_other_beta_lactams,0.48610000000000003,,,,5.702308487423912,https://www.ecdc.europa.eu/en/publications-data/downloadable-tables-antimicrobial-consumption-annual-epidemiological-report-2022
