region,country,iso3,year,pathogen,specimen,antibiotic,resistant,tested,ast_standard,ast_version,test_method,source_url
EU_EEA,Austria,AUT,2005,Escherichia coli,Blood/invasive,Aminopenicillins,995,2050,EARS-Net mixed/not reported,Not reported in Atlas aggregate,ECDC Surveillance Atlas aggregate,https://atlas.ecdc.europa.eu/public/
EU_EEA,Austria,AUT,2006,Escherichia coli,Blood/invasive,Aminopenicillins,1317,2469,EARS-Net mixed/not reported,Not reported in Atlas aggregate,ECDC Surveillance Atlas aggregate,https://atlas.ecdc.europa.eu/public/
EU_EEA,Austria,AUT,2007,Escherichia coli,Blood/invasive,Aminopenicillins,1353,2542,EARS-Net mixed/not reported,Not reported in Atlas aggregate,ECDC Surveillance Atlas aggregate,https://atlas.ecdc.europa.eu/public/
EU_EEA,Austria,AUT,2008,Escherichia coli,Blood/invasive,Aminopenicillins,1505,2979,EARS-Net mixed/not reported,Not reported in Atlas aggregate,ECDC Surveillance Atlas aggregate,https://atlas.ecdc.europa.eu/public/
EU_EEA,Austria,AUT,2009,Escherichia coli,Blood/invasive,Aminopenicillins,1266,2605,EARS-Net mixed/not reported,Not reported in Atlas aggregate,ECDC Surveillance Atlas aggregate,https://atlas.ecdc.europa.eu/public/
EU_EEA,Austria,AUT,2010,Escherichia coli,Blood/invasive,Aminopenicillins,1482,2928,EARS-Net mixed/not reported,Not reported in Atlas aggregate,ECDC Surveillance Atlas aggregate,https://atlas.ecdc.europa.eu/public/
EU_EEA,Austria,AUT,2011,Escherichia coli,Blood/invasive,Aminopenicillins,1584,3148,EARS-Net mixed/not reported,Not reported in Atlas aggregate,ECDC Surveillance Atlas aggregate,https://atlas.ecdc.europa.eu/public/
EU_EEA,Austria,AUT,2012,Escherichia coli,Blood/invasive,Aminopenicillins,1833,3625,EARS-Net mixed/not reported,Not reported in Atlas aggregate,ECDC Surveillance Atlas aggregate,https://atlas.ecdc.europa.eu/public/
EU_EEA,Austria,AUT,2013,Escherichia coli,Blood/invasive,Aminopenicillins,2247,4379,EARS-Net mixed/not reported,Not reported in Atlas aggregate,ECDC Surveillance Atlas aggregate,https://atlas.ecdc.europa.eu/public/
EU_EEA,Austria,AUT,2014,Escherichia coli,Blood/invasive,Aminopenicillins,2388,4742,EARS-Net mixed/not reported,Not reported in Atlas aggregate,ECDC Surveillance Atlas aggregate,https://atlas.ecdc.europa.eu/public/
EU_EEA,Austria,AUT,2015,Escherichia coli,Blood/invasive,Aminopenicillins,2433,4880,EARS-Net mixed/not reported,Not reported in Atlas aggregate,ECDC Surveillance Atlas aggregate,https://atlas.ecdc.europa.eu/public/
EU_EEA,Austria,AUT,2016,Escherichia coli,Blood/invasive,Aminopenicillins,2572,5094,EARS-Net mixed/not reported,Not reported in Atlas aggregate,ECDC Surveillance Atlas aggregate,https://atlas.ecdc.europa.eu/public/
EU_EEA,Austria,AUT,2017,Escherichia coli,Blood/invasive,Aminopenicillins,2570,5188,EARS-Net mixed/not reported,Not reported in Atlas aggregate,ECDC Surveillance Atlas aggregate,https://atlas.ecdc.europa.eu/public/
