Horizon,ForecastTargetYear,RecommendedMethod,antibiotic,MeanForecastPct,MedianForecastPct,Countries
1,2024,Persistence,Aminoglycosides,10.657023243719575,9.97830802603037,29
1,2024,Persistence,Aminopenicillins,53.05848438314606,55.01134503523852,28
1,2024,Persistence,Carbapenems,0.25036593771948323,0.06765899864682,29
1,2024,Persistence,Fluoroquinolones,22.481884123844807,20.54982817869416,29
1,2024,Persistence,Third-generation cephalosporins,15.337190599167927,12.015503875968992,29
3,2026,Extra Trees,Aminoglycosides,10.598660644841878,9.694698404064752,29
3,2026,Extra Trees,Aminopenicillins,52.24471419135523,54.62663072137762,28
3,2026,Extra Trees,Carbapenems,0.2453771765269948,0.05885782589822954,29
3,2026,Extra Trees,Fluoroquinolones,21.669959692647396,18.48129990087147,29
3,2026,Extra Trees,Third-generation cephalosporins,15.229029627884644,12.734231341896917,29
5,2028,Extra Trees,Aminoglycosides,10.424094499820205,9.802828790435298,29
5,2028,Extra Trees,Aminopenicillins,51.49931293791541,53.63932124588848,28
5,2028,Extra Trees,Carbapenems,0.35051289507013855,0.1281912810926756,29
5,2028,Extra Trees,Fluoroquinolones,21.172705345407046,18.311380765200553,29
5,2028,Extra Trees,Third-generation cephalosporins,15.364829022191355,13.190671479106822,29
