country,iso3,antibiotic,antibiotic_family,OriginYear,LatestObservedResistancePct,tested,Horizon,ForecastTargetYear,SelectedMLModel,ModelForecastPct,PersistenceForecastPct,RecommendedMethod,RecommendedForecastPct,Lower80Pct,Upper80Pct,Lower95Pct,Upper95Pct
Austria,AUT,Aminoglycosides,J01G_aminoglycosides,2023,5.3560042507970245,4705,1,2024,Ridge,5.310587723542122,5.3560042507970245,Persistence,5.3560042507970245,3.0468268867926267,7.665181614801423,0.49422138185175246,10.217787119742297
Austria,AUT,Aminopenicillins,J01C_penicillins,2023,46.42784032753327,4885,1,2024,Ridge,45.81360773230316,46.42784032753327,Persistence,46.42784032753327,44.11866296352887,48.737017691537666,41.566057458588,51.28962319647854
Austria,AUT,Carbapenems,J01DH_carbapenems,2023,0.1308166697813493,5351,1,2024,Ridge,0.0,0.1308166697813493,Persistence,0.1308166697813493,0.0,2.439994033785747,0.0,4.992599538726621
Austria,AUT,Fluoroquinolones,J01M_quinolones,2023,15.030504714364948,5409,1,2024,Ridge,14.87172607704315,15.030504714364948,Persistence,15.030504714364948,12.72132735036055,17.339682078369346,10.168721845419675,19.89228758331022
Austria,AUT,Third-generation cephalosporins,J01D_other_beta_lactams,2023,9.852485885995264,5491,1,2024,Ridge,9.482328712641197,9.852485885995264,Persistence,9.852485885995264,7.543308521990866,12.161663249999663,4.990703017049992,14.714268754940537
Belgium,BEL,Aminoglycosides,J01G_aminoglycosides,2023,7.576132706115375,4039,1,2024,Ridge,7.112604503253921,7.576132706115375,Persistence,7.576132706115375,5.266955342110977,9.885310070119774,2.7143498371701034,12.437915575060646
Belgium,BEL,Aminopenicillins,J01C_penicillins,2023,55.658347676419965,4648,1,2024,Ridge,54.96093241345689,55.658347676419965,Persistence,55.658347676419965,53.349170312415566,57.96752504042436,50.796564807474695,60.520130545365234
Belgium,BEL,Carbapenems,J01DH_carbapenems,2023,0.0806776926179911,4958,1,2024,Ridge,0.0,0.0806776926179911,Persistence,0.0806776926179911,0.0,2.389855056622389,0.0,4.942460561563263
Belgium,BEL,Fluoroquinolones,J01M_quinolones,2023,18.236836796449467,4957,1,2024,Ridge,17.90060450887745,18.236836796449467,Persistence,18.236836796449467,15.927659432445068,20.546014160453865,13.375053927504194,23.09861966539474
Belgium,BEL,Third-generation cephalosporins,J01D_other_beta_lactams,2023,10.088781275221953,4956,1,2024,Ridge,9.926558606716076,10.088781275221953,Persistence,10.088781275221953,7.779603911217555,12.397958639226351,5.226998406276681,14.950564144167224
Bulgaria,BGR,Aminoglycosides,J01G_aminoglycosides,2023,28.431372549019606,306,1,2024,Ridge,27.088785253040346,28.431372549019606,Persistence,28.431372549019606,26.122195185015208,30.740549913024005,23.569589680074333,33.293155417964876
Bulgaria,BGR,Aminopenicillins,J01C_penicillins,2023,66.99346405228758,306,1,2024,Ridge,66.0563744089502,66.99346405228758,Persistence,66.99346405228758,64.68428668828318,69.30264141629198,62.13168118334231,71.85524692123285
Bulgaria,BGR,Carbapenems,J01DH_carbapenems,2023,0.326797385620915,306,1,2024,Ridge,0.8390688441928482,0.326797385620915,Persistence,0.326797385620915,0.0,2.635974749625313,0.0,5.188580254566187
Bulgaria,BGR,Fluoroquinolones,J01M_quinolones,2023,39.869281045751634,306,1,2024,Ridge,38.87379780148157,39.869281045751634,Persistence,39.869281045751634,37.560103681747236,42.17845840975603,35.007498176806365,44.731063914696904
Bulgaria,BGR,Third-generation cephalosporins,J01D_other_beta_lactams,2023,37.25490196078432,306,1,2024,Ridge,37.24534873081292,37.25490196078432,Persistence,37.25490196078432,34.945724596779925,39.56407932478872,32.393119091839054,42.11668482972959
Cyprus,CYP,Aminoglycosides,J01G_aminoglycosides,2023,18.484848484848484,330,1,2024,Ridge,18.045627618787954,18.484848484848484,Persistence,18.484848484848484,16.175671120844086,20.794025848852883,13.623065615903212,23.346631353793757
Cyprus,CYP,Aminopenicillins,J01C_penicillins,2023,68.90243902439025,328,1,2024,Ridge,66.89766540301814,68.90243902439025,Persistence,68.90243902439025,66.59326166038585,71.21161638839465,64.04065615544498,73.76422189333552
Cyprus,CYP,Carbapenems,J01DH_carbapenems,2023,0.9063444108761328,331,1,2024,Ridge,1.4666854198410135,0.9063444108761328,Persistence,0.9063444108761328,0.0,3.2155217748805307,0.0,5.768127279821405
Cyprus,CYP,Fluoroquinolones,J01M_quinolones,2023,42.90030211480362,331,1,2024,Ridge,43.72528016007147,42.90030211480362,Persistence,42.90030211480362,40.591124750799224,45.20947947880802,38.03851924585835,47.76208498374889
Cyprus,CYP,Third-generation cephalosporins,J01D_other_beta_lactams,2023,34.74320241691843,331,1,2024,Ridge,33.267102820306135,34.74320241691843,Persistence,34.74320241691843,32.43402505291403,37.05237978092283,29.881419547973156,39.6049852858637
Czechia,CZE,Aminoglycosides,J01G_aminoglycosides,2023,9.763617677286742,3892,1,2024,Ridge,9.441023051065711,9.763617677286742,Persistence,9.763617677286742,7.454440313282344,12.07279504129114,4.90183480834147,14.625400546232015
Czechia,CZE,Aminopenicillins,J01C_penicillins,2023,51.56731757451182,3892,1,2024,Ridge,51.103175780219715,51.56731757451182,Persistence,51.56731757451182,49.25814021050742,53.87649493851622,46.70553470556655,56.42910044345709
Czechia,CZE,Carbapenems,J01DH_carbapenems,2023,0.0,1846,1,2024,Ridge,0.14920293098002801,0.0,Persistence,0.0,0.0,2.3091773640043978,0.0,4.861782868945272
Czechia,CZE,Fluoroquinolones,J01M_quinolones,2023,17.17665209565441,3889,1,2024,Ridge,17.821769803828968,17.17665209565441,Persistence,17.17665209565441,14.867474731650013,19.48582945965881,12.314869226709138,22.038434964599684
Czechia,CZE,Third-generation cephalosporins,J01D_other_beta_lactams,2023,15.878725590955806,3892,1,2024,Ridge,15.380161593751472,15.878725590955806,Persistence,15.878725590955806,13.569548226951408,18.187902954960204,11.016942722010533,20.74050845990108
Germany,DEU,Aminoglycosides,J01G_aminoglycosides,2023,5.346322917904241,33668,1,2024,Ridge,5.16191666707236,5.346322917904241,Persistence,5.346322917904241,3.0371455538998435,7.655500281908639,0.4845400489589693,10.208105786849513
Germany,DEU,Aminopenicillins,J01C_penicillins,2023,46.33612513496951,34267,1,2024,Ridge,45.72372107939964,46.33612513496951,Persistence,46.33612513496951,44.02694777096511,48.645302498973905,41.47434226602424,51.197908003914776
Germany,DEU,Carbapenems,J01DH_carbapenems,2023,0.0449148022345114,35623,1,2024,Ridge,0.0,0.0449148022345114,Persistence,0.0449148022345114,0.0,2.3540921662389094,0.0,4.906697671179783
Germany,DEU,Fluoroquinolones,J01M_quinolones,2023,16.589278176445756,35535,1,2024,Ridge,15.768682079388459,16.589278176445756,Persistence,16.589278176445756,14.280100812441358,18.898455540450154,11.727495307500483,21.45106104539103
Germany,DEU,Third-generation cephalosporins,J01D_other_beta_lactams,2023,9.688649316376091,35619,1,2024,Ridge,9.59667830400718,9.688649316376091,Persistence,9.688649316376091,7.379471952371693,11.99782668038049,4.826866447430819,14.550432185321363
Denmark,DNK,Aminoglycosides,J01G_aminoglycosides,2023,4.48706970371639,5839,1,2024,Ridge,4.030077171178089,4.48706970371639,Persistence,4.48706970371639,2.1778923397119923,6.796247067720788,0.0,9.348852572661663
Denmark,DNK,Aminopenicillins,J01C_penicillins,2023,40.455250905328505,5799,1,2024,Ridge,40.79061339254488,40.455250905328505,Persistence,40.455250905328505,38.14607354132411,42.7644282693329,35.593468036383236,45.317033774273774
Denmark,DNK,Carbapenems,J01DH_carbapenems,2023,0.0368324125230202,5430,1,2024,Ridge,0.0,0.0368324125230202,Persistence,0.0368324125230202,0.0,2.346009776527418,0.0,4.898615281468293
Denmark,DNK,Fluoroquinolones,J01M_quinolones,2023,10.466712422786548,5828,1,2024,Ridge,10.335132037586316,10.466712422786548,Persistence,10.466712422786548,8.15753505878215,12.775889786790946,5.604929553841276,15.32849529173182
Denmark,DNK,Third-generation cephalosporins,J01D_other_beta_lactams,2023,6.316388467374811,5272,1,2024,Ridge,6.419039550744261,6.316388467374811,Persistence,6.316388467374811,4.0072111033704125,8.625565831379209,1.4546055984295387,11.178171336320084
Spain,ESP,Aminoglycosides,J01G_aminoglycosides,2023,12.300967842647518,9609,1,2024,Ridge,11.951903187050599,12.300967842647518,Persistence,12.300967842647518,9.99179047864312,14.610145206651916,7.439184973702246,17.16275071159279
Spain,ESP,Aminopenicillins,J01C_penicillins,2023,57.42067553735927,8793,1,2024,Ridge,56.318808647511105,57.42067553735927,Persistence,57.42067553735927,55.111498173354875,59.72985290136367,52.558892668414,62.28245840630454
Spain,ESP,Carbapenems,J01DH_carbapenems,2023,0.0545077946146298,9173,1,2024,Ridge,0.0,0.0545077946146298,Persistence,0.0545077946146298,0.0,2.3636851586190275,0.0,4.916290663559902
Spain,ESP,Fluoroquinolones,J01M_quinolones,2023,27.555370697722783,9617,1,2024,Ridge,26.95408980123465,27.555370697722783,Persistence,27.555370697722783,25.246193333718384,29.86454806172718,22.69358782877751,32.417153566668055
Spain,ESP,Third-generation cephalosporins,J01D_other_beta_lactams,2023,16.215341460783257,9269,1,2024,Ridge,15.49318352783088,16.215341460783257,Persistence,16.215341460783257,13.90616409677886,18.524518824787656,11.353558591837984,21.07712432972853
Estonia,EST,Aminoglycosides,J01G_aminoglycosides,2023,4.934823091247672,1074,1,2024,Ridge,5.038994547351285,4.934823091247672,Persistence,4.934823091247672,2.6256457272432745,7.2440004552520705,0.07304022230240026,9.796605960192945
Estonia,EST,Aminopenicillins,J01C_penicillins,2023,38.07692307692308,520,1,2024,Ridge,41.24158555946259,38.07692307692308,Persistence,38.07692307692308,35.76774571291868,40.38610044092748,33.21514020797781,42.93870594586835
Estonia,EST,Carbapenems,J01DH_carbapenems,2023,0.0,894,1,2024,Ridge,0.0,0.0,Persistence,0.0,0.0,2.3091773640043978,0.0,4.861782868945272
Estonia,EST,Fluoroquinolones,J01M_quinolones,2023,13.282732447817835,1054,1,2024,Ridge,14.120182344077257,13.282732447817835,Persistence,13.282732447817835,10.973555083813437,15.591909811822234,8.420949578872563,18.14451531676311
Estonia,EST,Third-generation cephalosporins,J01D_other_beta_lactams,2023,11.439114391143912,1084,1,2024,Ridge,11.235494660868454,11.439114391143912,Persistence,11.439114391143912,9.129937027139514,13.74829175514831,6.57733152219864,16.300897260089183
Finland,FIN,Aminoglycosides,J01G_aminoglycosides,2023,4.833765621315727,4241,1,2024,Ridge,4.450643809292902,4.833765621315727,Persistence,4.833765621315727,2.5245882573113296,7.142942985320126,0.0,9.695548490261
Finland,FIN,Aminopenicillins,J01C_penicillins,2023,32.549019607843135,2550,1,2024,Ridge,33.39307579256578,32.549019607843135,Persistence,32.549019607843135,30.239842243838737,34.85819697184753,27.687236738897862,37.410802476788405
Finland,FIN,Carbapenems,J01DH_carbapenems,2023,0.0234301780693533,4268,1,2024,Ridge,0.0,0.0234301780693533,Persistence,0.0234301780693533,0.0,2.332607542073751,0.0,4.885213047014625
Finland,FIN,Fluoroquinolones,J01M_quinolones,2023,10.302745834311194,4261,1,2024,Ridge,10.218428614614405,10.302745834311194,Persistence,10.302745834311194,7.993568470306796,12.611923198315592,5.440962965365922,15.164528703256465
Finland,FIN,Third-generation cephalosporins,J01D_other_beta_lactams,2023,7.0858751759737215,4262,1,2024,Ridge,6.994260652777696,7.0858751759737215,Persistence,7.0858751759737215,4.776697811969324,9.395052539978119,2.2240923070284495,11.947658044918994
Greece,GRC,Aminoglycosides,J01G_aminoglycosides,2023,20.62363238512035,1828,1,2024,Ridge,19.594793562574026,20.62363238512035,Persistence,20.62363238512035,18.31445502111595,22.932809749124747,15.761849516175076,25.48541525406562
Greece,GRC,Aminopenicillins,J01C_penicillins,2023,57.82140595313489,1579,1,2024,Ridge,57.559026520599005,57.82140595313489,Persistence,57.82140595313489,55.512228589130494,60.13058331713929,52.95962308418962,62.68318882208016
