Horizon,Forecast,ConfirmationTargetYear,RMSE,MAE,R2,WeightedRMSE
1,Ridge,2023,3.0099065118817796,1.6941138104052962,0.9756479620139864,1.6341506569858355
1,Persistence,2023,2.4613571410259882,1.4295563341569402,0.9837153447994671,1.3003594696633898
3,Extra Trees,2023,2.0153596974648456,1.3938747044795072,0.9891469796946352,1.3171816034550785
3,Persistence,2023,2.3305837834745575,1.5434049271460402,0.9854864077667794,1.5296824852086441
5,Extra Trees,2023,1.923357586555752,1.2996484031872992,0.9901152532646271,1.2731909773552528
5,Persistence,2023,3.4716432835066393,2.4178824268869166,0.9677955663893331,2.9887962560856662
