region,country,iso3,year,pathogen,specimen,antibiotic,resistant,tested,ast_standard,ast_version,test_method,source_url_x,resistance_pct,breakpoint_change_from_prior,antibiotic_family,family_consumption,family_consumption_lag1,family_consumption_lag2,family_consumption_lag3,consumption_community,consumption_hospital,access_pct,broad_narrow_ratio,oral_parenteral_ratio,reserve_pct,access_pct_lag1,broad_narrow_ratio_lag1,oral_parenteral_ratio_lag1,population,age65_pct,urban_pct,gdp_per_capita,health_expenditure_pct_gdp,source_url_y,resistance_lag1,resistance_lag2,resistance_lag3,resistance_trend4,resistance_volatility4,log_tested,target_resistance_h1,target_tested_h1,target_resistance_h3,target_tested_h3,target_resistance_h5,target_tested_h5,ast_tested_per_100k,reported_resistant_per_100k,tested_growth1,testing_volatility4,family_consumption_mean3,family_consumption_sum3,family_consumption_volatility3,family_consumption_change1,family_consumption_trend3,consumption_community_lag1,consumption_community_lag2,consumption_community_lag3,consumption_hospital_lag1,consumption_hospital_lag2,consumption_hospital_lag3,reserve_pct_lag1,reserve_pct_lag2,reserve_pct_lag3,reserve_mean3,reserve_change1,hospital_community_ratio_lag1,log_population,population_growth1,population_growth3,age65_change1,urban_change1,log_gdp_per_capita,gdp_growth1,health_expenditure_change1,eu_resistance_excl_country,resistance_gap_to_eu,eu_resistance_change1,other_antibiotic_mean,other_antibiotic_sd,other_high_resistance_count,country_profile_gap,origin_year_index,trend_x_volatility,resistance_x_consumption,trend_x_consumption,resistance_x_eu_gap
EU_EEA,Austria,AUT,2013,Escherichia coli,Blood/invasive,Aminoglycosides,313,4367,EARS-Net mixed/not reported,Not reported in Atlas aggregate,ECDC Surveillance Atlas aggregate,https://atlas.ecdc.europa.eu/public/,7.167391802152507,0,J01G_aminoglycosides,,,,,8.7125,,,,,,,,,8479823,18.1994460470678,67.2981308784247,50305.3545774973,10.40574837,https://api.worldbank.org/v2/,6.266882766072393,7.268090532355754,6.219931271477663,0.1841173825741169,0.4887482407761431,8.38206051742474,7.0884468895471855,4726.0,7.8125,5248.0,8.226495726495726,5616.0,51.49871642368007,3.691114779164612,,,,,,,,,,,,,,,,,,,,15.953200252835723,,,,,10.825886681657074,,,9.652785722457384,-2.485393920304877,,20.788375676375455,19.26132991537435,1,-13.620983874222947,0,0.08998704682940774,,,-17.813792009512856
EU_EEA,Austria,AUT,2014,Escherichia coli,Blood/invasive,Aminoglycosides,335,4726,EARS-Net mixed/not reported,Not reported in Atlas aggregate,ECDC Surveillance Atlas aggregate,https://atlas.ecdc.europa.eu/public/,7.0884468895471855,0,J01G_aminoglycosides,,,,,7.4361,,,,,,,,,8546356,18.3880563664351,67.4154327591781,51314.9722616322,10.51159096,https://api.worldbank.org/v2/,7.167391802152507,6.266882766072393,7.268090532355754,0.0361578107654405,0.3981947934272608,8.461046030793236,6.981981981981982,4884.0,7.709665287702144,5318.0,6.948541461815798,6102.0,55.29842192391705,3.919799268834577,0.0822074650790016,0.03949275668424823,,,,,,8.7125,,,,,,,,,,,,15.961015668242924,0.00784603640901467,,0.188610319367303,0.11730188075340209,10.84575733282875,0.02006978566425859,0.10584258999999996,9.817361025090493,-2.7289141355433078,0.14400219547517956,19.892086593404958,18.932592787798217,1,-12.803639703857773,1,0.014397851988526566,,,-19.343762915933308
EU_EEA,Austria,AUT,2015,Escherichia coli,Blood/invasive,Aminoglycosides,341,4884,EARS-Net mixed/not reported,Not reported in Atlas aggregate,ECDC Surveillance Atlas aggregate,https://atlas.ecdc.europa.eu/public/,6.981981981981982,0,J01G_aminoglycosides,,,,,7.4764,,,,,,,,,8642699,18.4613708048616,67.5576175537383,43915.228020857,10.51688385,https://api.worldbank.org/v2/,7.0884468895471855,7.167391802152507,6.266882766072393,0.206635273512345,0.3578752312976991,8.493924564476883,7.8125,5248.0,8.226495726495726,5616.0,6.246407357731366,5219.0,56.510124904268906,3.945526738811568,0.03343207786711807,0.04694355277251843,,,,,,7.4361,8.7125,,,,,,,,,,,15.972225591962284,0.011272991670368049,,0.07331443842649676,0.14218479456019395,10.69003918954574,-0.1442024406258509,0.0052928899999997725,10.12745947283752,-3.145477490855538,0.2974892639396032,19.895038326151223,18.68935618318071,1,-12.913056344169242,2,0.07394964630249379,,,-21.961667165883263
EU_EEA,Austria,AUT,2016,Escherichia coli,Blood/invasive,Aminoglycosides,410,5248,EARS-Net mixed/not reported,Not reported in Atlas aggregate,ECDC Surveillance Atlas aggregate,https://atlas.ecdc.europa.eu/public/,7.8125,0,J01G_aminoglycosides,,,,,7.276999999999999,,,,,,,,,8736668,18.4999156835518,67.7218061923556,45061.4993920192,10.51713753,https://api.worldbank.org/v2/,6.981981981981982,7.0884468895471855,7.167391802152507,0.1828859685977273,0.3242415717026991,8.5657928612523,7.709665287702144,5318.0,6.948541461815798,6102.0,5.7518796992481205,5320.0,60.068666910543016,4.692864602386173,0.07452907452907453,0.0660150546576047,,,,,,7.4764,7.4361,8.7125,,,,,,,,,,15.98303955370508,0.010872645223442353,0.03028895768225351,0.03854487869020318,0.16418863861730415,10.71580568053536,0.026101910950292472,0.0002536800000001449,9.696458684654301,-1.883958684654301,-0.34931690056540177,20.0882516957775,18.899669558535237,1,-12.275751695777501,3,0.05929923390049757,,,-14.718427223861728
EU_EEA,Austria,AUT,2017,Escherichia coli,Blood/invasive,Aminoglycosides,410,5318,EARS-Net mixed/not reported,Not reported in Atlas aggregate,ECDC Surveillance Atlas aggregate,https://atlas.ecdc.europa.eu/public/,7.709665287702144,0,J01G_aminoglycosides,,,,,7.8689,,,,,,,,,8797566,18.6103296736393,67.9051196052802,47163.7425775142,10.57132816,https://api.worldbank.org/v2/,7.8125,6.981981981981982,7.0884468895471855,0.2694173212482893,0.3666877189137955,8.579040594742317,8.226495726495726,5616.0,6.246407357731366,5219.0,5.48033526756931,4653.0,60.44853769781324,4.660379927811851,0.013338414634146341,0.04909232801703268,,,,,,7.276999999999999,7.4764,7.4361,,,,,,,,,,15.98998576394882,0.00697039191600276,0.029393814158923406,0.11041399008749764,0.1833134129246048,10.761401913155654,0.046652757095502324,0.054190630000000795,9.439048150495124,-1.7293828627929795,-0.24264070455505404,19.911597289818822,18.569984030018638,1,-12.201932002116678,4,0.09879202296440046,,,-13.332963026421993
EU_EEA,Austria,AUT,2018,Escherichia coli,Blood/invasive,Aminoglycosides,462,5616,EARS-Net mixed/not reported,Not reported in Atlas aggregate,ECDC Surveillance Atlas aggregate,https://atlas.ecdc.europa.eu/public/,8.226495726495726,0,J01G_aminoglycosides,,,,,7.173500000000001,,,,,,,,,8840521,18.7625828458159,68.1046787227623,51194.0749841299,10.5157156,https://api.worldbank.org/v2/,7.709665287702144,7.8125,6.981981981981982,0.3630706521243378,0.4484123920869112,8.633552992532433,6.948541461815798,6102.0,5.7518796992481205,5320.0,5.3560042507970245,4705.0,63.52566777455763,5.225936344701856,0.05603610379842046,0.04977727139302878,,,,,,7.8689,7.276999999999999,7.4764,,,,,,,,,,15.994856482644213,0.004882600482906295,0.022888914678157832,0.15225317217660006,0.19955911748209587,10.843398614684666,0.08545404131132721,-0.055612560000000144,9.833434879989015,-1.6069391534932898,0.4033218825506584,20.698048268727334,18.93752415449201,1,-12.471552542231608,5,0.1628053796156291,,,-13.219478078951207
EU_EEA,Austria,AUT,2019,Escherichia coli,Blood/invasive,Aminoglycosides,424,6102,EARS-Net mixed/not reported,Not reported in Atlas aggregate,ECDC Surveillance Atlas aggregate,https://atlas.ecdc.europa.eu/public/,6.948541461815798,0,J01G_aminoglycosides,,,,,6.718099999999999,1.5007,,,,4.501248870702027,,,,8879920,18.9402993578561,68.3176044750522,49885.9947355204,10.62530422,https://api.worldbank.org/v2/,8.226495726495726,7.709665287702144,7.8125,-0.2075045175759033,0.4615180168964521,8.716535732544495,6.246407357731366,5219.0,5.48033526756931,4653.0,,,68.71683528680438,4.774817791151271,0.08653846153846154,0.0592942875890678,,,,,,7.173500000000001,7.8689,7.276999999999999,,,,,,,,,,15.999303218532383,0.004456637793179836,0.01639664000051278,0.17771651204020245,0.2129257522899053,10.817515621227933,-0.02555139923936513,0.10958862000000025,9.756410051088228,-2.80786858927243,-0.13394888809531302,18.451957215429562,17.307001809064026,1,-11.503415753613766,6,-0.09576707344868589,,,-19.510591311889712
EU_EEA,Austria,AUT,2020,Escherichia coli,Blood/invasive,Aminoglycosides,326,5219,EUCAST,EUCAST required; exact version unavailable in Atlas aggregate,ECDC Surveillance Atlas aggregate,https://atlas.ecdc.europa.eu/public/,6.246407357731366,1,J01G_aminoglycosides,,,,,4.8754,1.3684999999999998,,,,5.271685666338753,,,,8916864,19.169788839314,68.5410177924001,48716.4098900349,11.41292953,https://api.worldbank.org/v2/,6.948541461815798,8.226495726495726,7.709665287702144,-0.5667728054592268,0.7514343077269691,8.560252680876685,5.7518796992481205,5320.0,5.3560042507970245,4705.0,,,58.529545813416014,3.655993856135969,-0.14470665355621107,0.06067998187563502,,,,,,6.718099999999999,7.173500000000001,7.8689,1.5007,,,4.501248870702027,,,,,0.2233816108721216,16.003454985381463,0.004160397841421995,0.01356034157629508,0.22948948145789672,0.22341331734789094,10.793791737793944,-0.0234451543301134,0.7876253099999992,9.18690117816048,-2.940493820429115,-0.551459660115416,18.22739628479886,17.15685461742482,1,-11.980988927067495,7,-0.42589253070872624,,,-18.367522235292036
EU_EEA,Austria,AUT,2021,Escherichia coli,Blood/invasive,Aminoglycosides,306,5320,EUCAST,EUCAST required; exact version unavailable in Atlas aggregate,ECDC Surveillance Atlas aggregate,https://atlas.ecdc.europa.eu/public/,5.7518796992481205,0,J01G_aminoglycosides,,,,,5.0085,1.3392999999999995,,,,6.082162546683264,,,,8955797,19.462852720957,68.773601700253,53648.6437976214,12.185215,https://api.worldbank.org/v2/,6.246407357731366,6.948541461815798,8.226495726495726,-0.8125982185827253,0.930295343296792,8.579416534596369,5.48033526756931,4653.0,,,,,59.40286498231257,3.4167813316894073,0.019352366353707608,0.06061309000565495,,,,,,4.8754,6.718099999999999,7.173500000000001,1.3684999999999998,1.5007,,5.271685666338753,4.501248870702027,,4.88646726852039,0.7704367956367255,0.28069491734011565,16.007811701734497,0.004366221128863241,0.013039502988568208,0.29306388164300046,0.23258390785289862,10.890230108663484,0.10124378866833138,0.7722854699999999,8.231763790612382,-2.4798840913642612,-0.93642382482704,17.120668698060854,17.010365725110066,1,-11.368788998812732,8,-0.755956338718778,,,-14.263994961606466
EU_EEA,Austria,AUT,2022,Escherichia coli,Blood/invasive,Aminoglycosides,255,4653,EUCAST,EUCAST required; exact version unavailable in Atlas aggregate,ECDC Surveillance Atlas aggregate,https://atlas.ecdc.europa.eu/public/,5.48033526756931,0,J01G_aminoglycosides,,,,,6.139700000000001,1.4012,,,,5.702308487423912,,,,9041851,19.7897509199721,68.998085127906,52336.7725223758,11.22519779,https://api.worldbank.org/v2/,5.7518796992481205,6.246407357731366,6.948541461815798,-0.4899146241222701,0.5582215920693839,8.445482343862237,5.3560042507970245,4705.0,,,,,51.460702017761626,2.8202190016181423,-0.12537593984962406,0.09623339376097828,,,,,,5.0085,4.8754,6.718099999999999,1.3392999999999995,1.3684999999999998,1.5007,6.082162546683264,5.271685666338753,4.501248870702027,5.285032361241348,0.8104768803445115,0.26740541080163716,16.017374578642567,0.009608748389450989,0.018235637257993317,0.3268981990151012,0.22448342765299856,10.865473617333203,-0.0244530184247409,-0.9600172100000002,8.576337616096936,-3.096002348527626,0.3423071002798679,17.0782194339103,17.372726736374197,1,-11.59788416634099,9,-0.27348092145560743,,,-16.967130859113357
